,City,SEX AND AGE,    Total population,        Under 5 years,        5 to 9 years,        10 to 14 years,        15 to 19 years,        20 to 24 years,        25 to 29 years,        30 to 34 years,        35 to 39 years,        40 to 44 years,        45 to 49 years,        50 to 54 years,        55 to 59 years,        60 to 64 years,        65 to 69 years,        70 to 74 years,        75 to 79 years,        80 to 84 years,        85 years and over,        Selected Age Categories,            16 years and over,            18 years and over,            21 years and over,            62 years and over,            65 years and over,    Male population,        Under 5 years,        5 to 9 years,        10 to 14 years,        15 to 19 years,        20 to 24 years,        25 to 29 years,        30 to 34 years,        35 to 39 years,        40 to 44 years,        45 to 49 years,        50 to 54 years,        55 to 59 years,        60 to 64 years,        65 to 69 years,        70 to 74 years,        75 to 79 years,        80 to 84 years,        85 years and over,        Selected Age Categories,            16 years and over,            18 years and over,            21 years and over,            62 years and over,            65 years and over,    Female population,        Under 5 years,        5 to 9 years,        10 to 14 years,        15 to 19 years,        20 to 24 years,        25 to 29 years,        30 to 34 years,        35 to 39 years,        40 to 44 years,        45 to 49 years,        50 to 54 years,        55 to 59 years,        60 to 64 years,        65 to 69 years,        70 to 74 years,        75 to 79 years,        80 to 84 years,        85 years and over,        Selected Age Categories,            16 years and over,            18 years and over,            21 years and over,            62 years and over,            65 years and over,MEDIAN AGE BY SEX,    Both sexes,    Male,    Female,RACE,    Total population,        One Race,            White,            Black or African American,            American Indian and Alaska Native,            Asian,            Native Hawaiian and Other Pacific Islander,            Some Other Race,        Two or More Races,TOTAL RACES TALLIED [1],    Total races tallied,        White alone or in combination with one or more other races,        Black or African American alone or in combination with one or more other races,        American Indian and Alaska Native alone or in combination with one or more other races,        Asian alone or in combination with one or more other races,        Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races,        Some Other Race alone or in combination with one or more other races,HISPANIC OR LATINO,    Total population,        Hispanic or Latino (of any race),        Not Hispanic or Latino,HISPANIC OR LATINO BY RACE,    Total population,        Hispanic or Latino,            White alone,            Black or African American alone,            American Indian and Alaska Native alone,            Asian alone,            Native Hawaiian and Other Pacific Islander alone,            Some Other Race alone,            Two or More Races,        Not Hispanic or Latino,            White alone,            Black or African American alone,            American Indian and Alaska Native alone,            Asian alone,            Native Hawaiian and Other Pacific Islander alone,            Some Other Race alone,            Two or More Races,RELATIONSHIP,    Total population,        In households,            Householder,            Opposite-sex spouse,            Same-sex spouse,            Opposite-sex unmarried partner,            Same-sex unmarried partner,            Child [2],                Under 18 years,            Grandchild,                Under 18 years,            Other relatives,            Nonrelatives,        In group quarters,            Institutionalized population:,                Male,                Female,            Noninstitutionalized population:,                Male,                Female,HOUSEHOLDS BY TYPE,    Total households,        Married couple household,            With own children under 18 [3],        Cohabiting couple household,            With own children under 18 [3],"        Male householder, no spouse or partner present:",            Living alone,                65 years and over,            With own children under 18 [3],"        Female householder, no spouse or partner present:",            Living alone,                65 years and over,            With own children under 18 [3],        Households with individuals under 18 years,        Households with individuals 65 years and over,HOUSING OCCUPANCY,    Total housing units,        Occupied housing units,        Vacant housing units,            For rent,"            Rented, not occupied",            For sale only,"            Sold, not occupied","            For seasonal, recreational, or occasional use",            All other vacants,VACANCY RATES,    Homeowner vacancy rate (percent) [4],    Rental vacancy rate (percent) [5],HOUSING TENURE,    Occupied housing units,        Owner-occupied housing units,        Renter-occupied housing units,County
0,Alameda,,"78,280","4,118","4,493","4,449","4,047","3,773","4,641","5,629","6,197","5,748","5,911","5,527","5,124","4,912","4,507","3,649","2,308","1,472","1,775",,"64,341","62,671","60,466","16,563","13,711","37,328","2,104","2,275","2,290","2,107","1,916","2,304","2,742","2,926","2,715","2,699","2,622","2,389","2,265","2,111","1,657",991,590,625,,"30,210","29,365","28,235","7,262","5,974","40,952","2,014","2,218","2,159","1,940","1,857","2,337","2,887","3,271","3,033","3,212","2,905","2,735","2,647","2,396","1,992","1,317",882,"1,150",,"34,131","33,306","32,231","9,301","7,737",,41.4,40.0,42.9,,"78,280","68,206","34,102","4,608",441,"25,412",399,"3,244","10,074",,"89,552","43,152","6,444","1,897","29,637","1,013","7,409",,"78,280","9,435","68,845",,"78,280","9,435","1,950",209,268,305,43,"2,688","3,972","68,845","32,152","4,399",173,"25,107",356,556,"6,102",,"78,280","76,750","30,983","14,375",404,"1,859",190,"21,206","14,367",954,684,"3,996","2,783","1,530",916,323,593,614,367,247,,"30,980","14,778","6,583","2,048",398,"5,263","3,537","1,109",427,"8,891","5,238","2,369","1,221","9,346","9,577",,"33,009","30,980","2,029",899,109,66,81,169,705,,0.4,5.3,,"30,980","14,973","16,007",Alameda County
1,Albany,,"20,271","1,057","1,217","1,317","1,989","1,181","1,436","1,555","1,416","1,398","1,424","1,235","1,054",956,961,914,507,278,376,,"16,400","15,889","14,403","3,618","3,036","9,657",540,626,683,982,590,700,758,673,649,661,576,494,418,416,414,203,124,150,,"7,670","7,387","6,692","1,568","1,307","10,614",517,591,634,"1,007",591,736,797,743,749,763,659,560,538,545,500,304,154,226,,"8,730","8,502","7,711","2,050","1,729",,36.3,34.6,37.8,,"20,271","17,584","9,446",716,90,"6,184",17,"1,131","2,687",,"23,283","11,900","1,138",406,"7,380",142,"2,317",,"20,271","2,665","17,606",,"20,271","2,665",501,25,73,41,8,963,"1,054","17,606","8,945",691,17,"6,143",9,168,"1,633",,"20,271","18,876","7,469","3,822",97,448,50,"5,467","4,078",145,106,633,745,"1,395",10,3,7,"1,385",642,743,,"7,493","3,925","2,014",502,107,"1,063",636,245,128,"2,003","1,078",599,381,"2,881","2,277",,"7,907","7,493",414,185,16,33,9,41,130,,0.9,4.6,,"7,493","3,662","3,831",Alameda County
2,Berkeley,,"124,321","4,097","4,082","4,352","12,921","21,960","11,848","9,351","7,271","6,252","6,085","5,790","5,827","5,559","5,539","5,612","3,780","2,088","1,907",,"110,797","108,927","92,716","22,174","18,926","60,913","2,093","2,048","2,272","5,994","10,919","5,984","4,847","3,645","3,032","3,097","2,903","2,866","2,677","2,628","2,567","1,690",937,714,,"54,000","53,023","45,629","10,067","8,536","63,408","2,004","2,034","2,080","6,927","11,041","5,864","4,504","3,626","3,220","2,988","2,887","2,961","2,882","2,911","3,045","2,090","1,151","1,193",,"56,797","55,904","47,087","12,107","10,390",,31.3,30.9,31.7,,"124,321","109,741","66,267","9,812",653,"24,896",265,"7,848","14,580",,"140,592","79,496","12,719","2,630","30,771",752,"14,224",,"124,321","17,018","107,303",,"124,321","17,018","3,817",317,427,195,12,"6,739","5,511","107,303","62,450","9,495",226,"24,701",253,"1,109","9,069",,"124,321","106,604","47,615","14,618",788,"3,437",472,"19,112","13,467","1,176",786,"3,174","16,212","17,717",235,108,127,"17,482","9,251","8,231",,"47,606","15,372","5,916","3,883",410,"12,421","7,696","2,124",549,"15,930","9,017","3,775","1,318","9,044","13,870",,"52,331","47,606","4,725","2,367",359,156,147,424,"1,272",,0.8,7.6,,"47,606","19,003","28,603",Alameda County
3,Dublin,,"72,589","4,900","5,965","5,472","4,127","3,143","4,321","6,153","7,955","7,441","6,057","4,475","3,712","2,896","2,038","1,667","1,111",668,488,,"55,314","53,504","51,517","7,707","5,972","34,737","2,453","2,992","2,806","2,112","1,523","2,087","2,716","3,556","3,619","3,091","2,116","1,715","1,342",920,722,471,308,188,,"26,034","25,114","24,043","3,373","2,609","37,852","2,447","2,973","2,666","2,015","1,620","2,234","3,437","4,399","3,822","2,966","2,359","1,997","1,554","1,118",945,640,360,300,,"29,280","28,390","27,474","4,334","3,363",,36.4,36.0,36.8,,"72,589","66,438","21,105","2,876",517,"39,077",221,"2,642","6,151",,"79,409","26,564","3,731","1,260","41,980",614,"5,260",,"72,589","8,351","64,238",,"72,589","8,351","2,956",136,141,219,19,"2,302","2,578","64,238","18,149","2,740",376,"38,858",202,340,"3,573",,"72,589","68,950","23,529","15,081",112,"1,100",69,"23,175","18,097",638,465,"3,520","1,726","3,639","3,300",488,"2,812",339,172,167,,"23,526","15,215","9,385","1,162",223,"2,991","1,743",254,353,"4,158","2,168",716,748,"11,250","4,402",,"24,426","23,526",900,478,33,163,67,57,102,,1.1,5.1,,"23,526","14,599","8,927",Alameda County
4,Emeryville,,"12,905",578,343,321,266,924,"1,876","2,146","1,475",944,753,627,585,559,464,393,309,175,167,,"11,612","11,510","11,292","1,831","1,508","6,278",286,165,182,138,409,911,"1,110",761,491,370,314,283,244,190,173,124,71,56,,"5,615","5,570","5,467",749,614,"6,627",292,178,139,128,515,965,"1,036",714,453,383,313,302,315,274,220,185,104,111,,"5,997","5,940","5,825","1,082",894,,35.0,34.7,35.4,,"12,905","11,523","4,796","2,015",76,"3,965",54,617,"1,382",,"14,441","5,974","2,392",290,"4,455",113,"1,217",,"12,905","1,435","11,470",,"12,905","1,435",232,47,53,47,15,491,550,"11,470","4,564","1,968",23,"3,918",39,126,832,,"12,905","12,595","6,918","1,667",95,670,96,"1,670","1,175",80,52,506,893,310,0,0,0,310,152,158,,"6,928","1,767",505,777,65,"1,995","1,514",281,55,"2,389","1,646",501,202,983,"1,366",,"7,525","6,928",597,371,52,29,5,61,79,,1.4,7.0,,"6,928","2,061","4,867",Alameda County
5,Fremont,,"230,504","13,494","16,059","15,691","13,444","11,419","14,487","18,337","20,383","18,519","16,675","14,586","14,620","12,724","10,030","7,645","5,011","3,626","3,754",,"182,241","176,491","169,599","37,369","30,066","115,285","7,009","8,359","8,054","6,919","6,010","7,487","8,898","10,075","9,285","8,642","7,363","7,312","6,298","4,824","3,588","2,235","1,497","1,430",,"90,283","87,420","83,776","17,135","13,574","115,219","6,485","7,700","7,637","6,525","5,409","7,000","9,439","10,308","9,234","8,033","7,223","7,308","6,426","5,206","4,057","2,776","2,129","2,324",,"91,958","89,071","85,823","20,234","16,492",,38.0,37.4,38.5,,"230,504","212,935","42,480","5,362","1,353","147,465","1,045","15,230","17,569",,"250,032","57,785","7,354","3,769","154,615","2,305","24,204",,"230,504","29,016","201,488",,"230,504","29,016","4,320",254,883,590,78,"13,915","8,976","201,488","38,160","5,108",470,"146,875",967,"1,315","8,593",,"230,504","227,768","74,411","49,292",268,"2,584",181,"72,766","49,758","3,496","2,575","16,884","7,886","2,736",684,297,387,"2,052","1,057",995,,"74,450","49,574","26,527","2,808",709,"9,548","4,857","1,305",973,"12,520","5,591","2,898","1,945","32,419","20,124",,"77,430","74,450","2,980","1,391",109,440,158,167,715,,1.0,4.5,,"74,450","44,735","29,715",Alameda County
6,Hayward,,"162,954","9,387","9,439","9,986","10,310","11,711","13,299","14,123","12,822","10,877","9,973","9,995","10,388","9,404","7,546","5,413","3,487","2,279","2,515",,"132,243","128,390","121,480","26,643","21,240","80,326","4,771","4,718","5,087","5,117","5,850","6,753","7,184","6,512","5,520","5,018","4,951","4,971","4,482","3,609","2,476","1,544",916,847,,"64,802","62,835","59,505","11,969","9,392","82,628","4,616","4,721","4,899","5,193","5,861","6,546","6,939","6,310","5,357","4,955","5,044","5,417","4,922","3,937","2,937","1,943","1,363","1,668",,"67,441","65,555","61,975","14,674","11,848",,36.2,35.5,36.9,,"162,954","141,967","27,955","14,693","2,562","48,315","5,104","43,338","20,987",,"186,231","45,369","17,620","5,492","53,439","6,964","57,347",,"162,954","67,079","95,875",,"162,954","67,079","6,519",690,"2,216",660,189,"42,425","14,380","95,875","21,436","14,003",346,"47,655","4,915",913,"6,607",,"162,954","159,656","50,199","24,445",324,"3,375",213,"47,637","27,941","4,919","3,877","19,320","9,224","3,298",806,349,457,"2,492","1,025","1,467",,"50,215","24,771","10,785","3,623","1,363","8,910","4,243","1,297",842,"12,911","4,916","2,319","2,594","18,622","14,940",,"52,268","50,215","2,053",992,96,290,57,89,529,,1.1,4.0,,"50,215","26,523","23,692",Alameda County
7,Livermore,,"87,955","5,000","5,496","5,623","5,456","4,583","5,007","6,207","6,674","5,935","5,880","6,556","6,891","5,850","4,108","3,279","2,381","1,446","1,583",,"70,723","68,417","65,439","16,064","12,797","43,572","2,602","2,804","2,872","2,809","2,450","2,576","3,082","3,283","2,950","2,903","3,217","3,377","2,931","1,931","1,525","1,039",634,587,,"34,733","33,558","31,983","7,375","5,716","44,383","2,398","2,692","2,751","2,647","2,133","2,431","3,125","3,391","2,985","2,977","3,339","3,514","2,919","2,177","1,754","1,342",812,996,,"35,990","34,859","33,456","8,689","7,081",,39.9,38.9,40.9,,"87,955","75,563","52,469","1,739",731,"12,819",242,"7,563","12,392",,"101,479","64,135","2,809","2,653","16,297",913,"14,672",,"87,955","18,978","68,977",,"87,955","18,978","4,020",135,528,186,33,"7,063","7,013","68,977","48,449","1,604",203,"12,633",209,500,"5,379",,"87,955","87,037","31,611","18,759",158,"1,733",88,"26,564","17,755","1,305",986,"3,972","2,847",918,152,56,96,766,367,399,,"31,608","18,907","8,197","1,804",479,"4,450","2,762",846,405,"6,447","3,467","1,844",987,"11,010","9,059",,"32,708","31,608","1,100",501,70,147,48,62,272,,0.7,5.1,,"31,608","22,343","9,265",Alameda County
8,Newark,,"47,529","3,179","2,597","2,490","2,582","2,668","3,701","4,843","4,198","3,059","2,994","2,947","3,172","2,771","2,068","1,578","1,118",839,725,,"38,761","37,743","36,166","7,891","6,328","23,924","1,637","1,315","1,305","1,362","1,370","1,921","2,478","2,185","1,584","1,485","1,444","1,592","1,366",972,754,477,379,298,,"19,436","18,870","18,040","3,647","2,880","23,605","1,542","1,282","1,185","1,220","1,298","1,780","2,365","2,013","1,475","1,509","1,503","1,580","1,405","1,096",824,641,460,427,,"19,325","18,873","18,126","4,244","3,448",,36.8,36.0,37.7,,"47,529","41,717","10,762","1,584",560,"19,801",693,"8,317","5,812",,"53,859","15,820","2,161","1,292","21,572","1,121","11,893",,"47,529","14,360","33,169",,"47,529","14,360","1,817",118,470,199,36,"8,069","3,651","33,169","8,945","1,466",90,"19,602",657,248,"2,161",,"47,529","47,240","14,931","9,010",84,763,59,"13,779","8,159","1,327",971,"4,820","2,467",289,0,0,0,289,184,105,,"14,946","9,090","3,966",831,275,"2,212",973,281,227,"2,813","1,136",590,393,"5,779","4,516",,"15,371","14,946",425,168,7,67,49,31,103,,0.7,3.4,,"14,946","10,185","4,761",Alameda County
9,Oakland,,"440,646","23,210","23,364","23,880","22,552","24,267","38,443","45,860","40,381","32,865","29,631","27,044","24,823","22,792","20,645","16,819","10,480","6,293","7,297",,"365,590","356,394","343,201","74,976","61,534","214,508","11,657","12,032","12,199","11,639","11,859","18,330","22,316","19,730","16,132","14,872","13,770","12,054","10,939","9,536","7,606","4,602","2,700","2,535",,"176,271","171,534","164,754","33,298","26,979","226,138","11,553","11,332","11,681","10,913","12,408","20,113","23,544","20,651","16,733","14,759","13,274","12,769","11,853","11,109","9,213","5,878","3,593","4,762",,"189,319","184,860","178,447","41,678","34,555",,37.2,36.6,37.7,,"440,646","388,841","132,297","93,820","8,530","70,806","2,884","80,504","51,805",,"499,146","175,538","107,822","17,745","84,892","5,043","108,106",,"440,646","126,843","313,803",,"440,646","126,843","12,110","2,259","7,159",900,216,"77,540","26,659","313,803","120,187","91,561","1,371","69,906","2,668","2,964","25,146",,"440,646","423,240","168,124","55,777","2,960","13,955","2,033","105,432","68,497","10,212","7,435","32,845","31,902","17,406","2,207",979,"1,228","15,199","9,267","5,932",,"167,909","58,677","24,746","15,914","3,326","37,169","23,914","6,479","2,572","56,149","29,849","11,317","8,435","45,148","44,909",,"178,469","167,909","10,560","5,076",438,707,295,588,"3,456",,1.1,4.7,,"167,909","66,007","101,902",Alameda County
