,City,HOUSEHOLDS BY TYPE,    Total households,        Married-couple household,            With children of the householder under 18 years,        Cohabiting couple household,            With children of the householder under 18 years,"        Male householder, no spouse/partner present",            With children of the householder under 18 years,            Householder living alone,                65 years and over,"        Female householder, no spouse/partner present",            With children of the householder under 18 years,            Householder living alone,                65 years and over,        Households with one or more people under 18 years,        Households with one or more people 65 years and over,        Average household size,        Average family size,RELATIONSHIP,    Population in households,        Householder,        Spouse,        Unmarried partner,        Child,        Other relatives,        Other nonrelatives,MARITAL STATUS,    Males 15 years and over,        Never married,"        Now married, except separated",        Separated,        Widowed,        Divorced,    Females 15 years and over,        Never married,"        Now married, except separated",        Separated,        Widowed,        Divorced,FERTILITY,    Number of women 15 to 50 years old who had a birth in the past 12 months,"        Unmarried women (widowed, divorced, and never married)","            Per 1,000 unmarried women","        Per 1,000 women 15 to 50 years old","        Per 1,000 women 15 to 19 years old","        Per 1,000 women 20 to 34 years old","        Per 1,000 women 35 to 50 years old",GRANDPARENTS,    Number of grandparents living with own grandchildren under 18 years,        Grandparents responsible for grandchildren,        Years responsible for grandchildren,            Less than 1 year,            1 or 2 years,            3 or 4 years,            5 or more years,    Number of grandparents responsible for own grandchildren under 18 years,        Who are female,        Who are married,SCHOOL ENROLLMENT,    Population 3 years and over enrolled in school,"        Nursery school, preschool",        Kindergarten,        Elementary school (grades 1-8),        High school (grades 9-12),        College or graduate school,EDUCATIONAL ATTAINMENT,    Population 25 years and over,        Less than 9th grade,"        9th to 12th grade, no diploma",        High school graduate (includes equivalency),"        Some college, no degree",        Associate's degree,        Bachelor's degree,        Graduate or professional degree,        High school graduate or higher,        Bachelor's degree or higher,VETERAN STATUS,    Civilian population 18 years and over,        Civilian veterans,DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION,    Total Civilian Noninstitutionalized Population,        With a disability,    Under 18 years,        With a disability,    18 to 64 years,        With a disability,    65 years and over,        With a disability,RESIDENCE 1 YEAR AGO,    Population 1 year and over,        Same house,        Different house (in the U.S. or abroad),            Different house in the U.S.,                Same county,                Different county,                    Same state,                    Different state,            Abroad,PLACE OF BIRTH,    Total population,        Native,            Born in United States,                State of residence,                Different state,"            Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",        Foreign born,U.S. CITIZENSHIP STATUS,    Foreign-born population,        Naturalized U.S. citizen,        Not a U.S. citizen,YEAR OF ENTRY,    Population born outside the United States,        Native,            Entered 2010 or later,            Entered before 2010,        Foreign born,            Entered 2010 or later,            Entered before 2010,WORLD REGION OF BIRTH OF FOREIGN BORN,"    Foreign-born population, excluding population born at sea",        Europe,        Asia,        Africa,        Oceania,        Latin America,        Northern America,LANGUAGE SPOKEN AT HOME,    Population 5 years and over,        English only,        Language other than English,"            Speak English less than ""very well""",        Spanish,"            Speak English less than ""very well""",        Other Indo-European languages,"            Speak English less than ""very well""",        Asian and Pacific Islander languages,"            Speak English less than ""very well""",        Other languages,"            Speak English less than ""very well""",ANCESTRY,    Total population,        American,        Arab,        Czech,        Danish,        Dutch,        English,        French (except Basque),        French Canadian,        German,        Greek,        Hungarian,        Irish,        Italian,        Lithuanian,        Norwegian,        Polish,        Portuguese,        Russian,        Scotch-Irish,        Scottish,        Slovak,        Subsaharan African,        Swedish,        Swiss,        Ukrainian,        Welsh,        West Indian (excluding Hispanic origin groups),COMPUTERS AND INTERNET USE,    Total households,        With a computer,        With a broadband Internet subscription,County
0,Alameda,,"30,281","14,284","6,668","2,405",594,"5,454",453,"4,068","1,441","8,138","1,427","5,274","1,491","9,572","8,465",2.49,3.14,,"75,447","30,281","14,358","2,587","21,311","4,096","2,814",,"31,187","11,375","15,650",542,"1,173","2,447","31,722","10,538","15,954",279,"1,517","3,434",,612,91,9,34,0,22,48,,N,N,,N,N,N,N,N,N,N,,"16,460","1,868",526,"7,645","2,894","3,527",,"56,820","1,017","2,134","6,833","8,758","3,572","21,549","12,957","53,669","34,506",,"59,868","3,217",,"75,135","7,680","15,888","1,019","47,374","3,292","11,873","3,369",,"75,721","67,186","8,535","8,252","5,144","3,108","2,144",964,283,,"76,352","57,970","55,819","36,992","18,827","2,151","18,382",,"18,382","14,353","4,029",,"20,533","2,151",602,"1,549","18,382","4,177","14,205",,N,N,N,N,N,N,N,,"72,491","48,263","24,228","8,376","4,640",777,"3,896","1,074","15,446","6,430",246,95,,"76,352","1,982",344,361,318,455,"7,222",726,144,"5,783",450,277,"6,904","2,605",510,605,"2,485",544,"1,761",343,"1,551",0,485,448,145,628,599,71,,"30,281","29,411","28,079",Alameda County
1,Berkeley,,"43,893","14,459","5,687","4,800",381,"10,976",272,"7,331","2,000","13,658","1,006","8,577","3,490","8,157","12,593",2.29,2.93,,"100,593","43,893","14,552","4,633","18,138","3,694","15,683",,"51,672","29,836","16,930",272,941,"3,693","53,852","29,413","15,858",873,"1,935","5,773",,"1,122",251,9,31,0,13,85,,N,N,,N,N,N,N,N,N,N,,"43,078","1,064",926,"5,420","3,401","32,267",,"75,318","1,628",727,"5,372","9,259","2,835","24,348","31,149","72,963","55,497",,"102,390","2,800",,"116,970","12,302","14,745",575,"84,691","6,603","17,534","5,124",,"116,055","81,595","34,460","30,318","12,921","17,397","12,571","4,826","4,142",,"117,147","92,527","90,105","57,504","32,601","2,422","24,620",,"24,620","12,520","12,100",,"27,042","2,422",653,"1,769","24,620","9,727","14,893",,"24,620","4,255","11,884","1,262",569,"5,518","1,132",,"112,868","80,289","32,579","6,746","10,644","2,434","9,752","1,187","10,072","2,565","2,111",560,,"117,147","2,698","1,714",338,274,646,"12,787","3,470",246,"9,855",743,817,"9,977","6,615",493,"1,340","2,721",994,"3,040",431,"1,748",97,"1,443","1,065","1,427","1,127",743,319,,"43,893","42,856","41,463",Alameda County
2,Dublin,,"23,688","16,087","9,359",784,231,"2,793",48,"1,960",434,"4,024",730,"2,056",752,"10,816","5,220",2.97,3.37,,"70,431","23,688","15,756",810,"23,828","5,079","1,270",,"27,245","6,973","18,148",47,323,"1,754","28,207","7,163","16,872",353,"1,622","2,197",,"1,163",0,0,58,0,88,51,,N,N,,N,N,N,N,N,N,N,,"19,191","1,336",664,"9,031","3,615","4,545",,"49,204","1,404",440,"5,109","5,395","3,614","18,266","14,976","47,360","33,242",,"52,432","1,619",,"70,476","3,942","19,192",693,"43,856","1,479","7,428","1,770",,"70,663","59,674","10,989","10,431","6,133","4,298","2,185","2,113",558,,"71,680","41,459","40,355","31,707","8,648","1,104","30,221",,"30,221","15,699","14,522",,"31,325","1,104",472,632,"30,221","11,176","19,045",,N,N,N,N,N,N,N,,"66,025","30,555","35,470","8,253","3,278",902,"12,777","2,499","18,928","4,804",487,48,,"71,680",501,307,88,131,162,"4,066","1,411",45,"4,519",321,0,"3,144","3,330",45,"1,134",253,203,"1,693",110,"1,008",0,43,230,49,233,494,166,,"23,688","23,332","23,214",Alameda County
3,Fremont,,"75,716","50,066","28,391","2,697",684,"9,841",780,"5,560","1,866","13,112","1,726","7,012","3,597","32,970","20,470",2.99,3.40,,"226,177","75,716","49,111","2,443","72,390","19,031","7,486",,"94,124","31,212","56,708",770,"1,526","3,908","88,042","19,178","54,567",387,"8,036","5,874",,"2,093",67,3,39,0,57,34,,"7,316","1,455",,283,0,689,483,"1,455","1,174","1,091",,"59,086","3,319","3,507","25,852","11,265","15,143",,"161,130","4,825","5,271","23,794","16,229","8,423","49,371","53,217","151,034","102,588",,"173,765","4,097",,"226,922","15,417","53,620",698,"143,414","6,383","29,888","8,336",,"225,249","199,703","25,546","23,265","9,774","13,491","9,834","3,657","2,281",,"227,523","115,893","113,666","93,857","19,809","2,227","111,630",,"111,630","62,671","48,959",,"113,857","2,227",877,"1,350","111,630","39,565","72,065",,N,N,N,N,N,N,N,,"215,481","79,399","136,082","37,320","14,480","3,624","46,395","8,159","71,735","24,544","3,472",993,,"227,523","3,176","3,470",50,296,478,"7,767","2,152",98,"8,422",291,124,"9,222","3,330",0,534,925,"1,940",580,793,"1,473",0,"1,199",731,184,84,467,267,,"75,716","74,822","72,260",Alameda County
4,Hayward,,"48,619","24,986","10,691","4,176","1,293","8,363",704,"5,051","1,625","11,094","1,640","4,176","2,159","17,801","15,703",3.23,3.74,,"157,047","48,619","25,244","4,384","47,364","24,210","7,226",,"66,840","27,992","32,622",964,"1,708","3,554","64,612","22,635","29,083","1,778","5,352","5,764",,"2,873","1,085",50,76,0,134,36,,N,N,,N,N,N,N,N,933,"1,170",,"36,581","1,463","1,521","14,949","7,584","11,064",,"114,163","13,795","7,728","29,291","19,008","7,825","25,714","10,802","92,640","36,516",,"125,424","3,320",,"158,806","15,859","34,131","1,827","102,535","6,995","22,140","7,037",,"157,356","144,997","12,359","11,944","8,114","3,830","3,547",283,415,,"159,839","93,677","90,301","75,741","14,560","3,376","66,162",,"66,162","36,163","29,999",,"69,538","3,376","1,157","2,219","66,162","15,156","51,006",,N,N,N,N,N,N,N,,"150,740","61,892","88,848","42,661","47,573","24,251","8,982","2,997","28,765","14,740","3,528",673,,"159,839","4,608","1,082",0,222,640,"2,490","1,180",113,"6,622",83,96,"3,083","3,350",69,332,"1,008","2,843",467,83,541,0,"1,822",563,94,453,300,78,,"48,619","47,258","44,731",Alameda County
5,Livermore,,"31,472","18,277","6,903","1,594",745,"5,349",537,"3,784",872,"6,252",582,"3,562","1,425","9,510","8,681",2.75,3.23,,"86,435","31,472","18,557","1,707","26,612","5,795","2,292",,"35,161","10,974","20,316",519,477,"2,875","35,497","9,537","18,897",370,"2,915","3,778",,"1,287",181,19,68,0,135,34,,N,N,,N,N,N,N,N,N,N,,"20,186","3,139","1,127","6,841","3,208","5,871",,"62,087","2,553","1,849","10,196","13,681","6,290","16,615","10,903","57,685","27,518",,"68,659","3,670",,"86,632","8,683","18,153",409,"55,933","4,021","12,546","4,253",,"85,683","74,907","10,776","10,701","5,438","5,263","3,941","1,322",75,,"86,812","68,943","68,222","51,655","16,567",721,"17,869",,"17,869","8,071","9,798",,"18,590",721,158,563,"17,869","4,732","13,137",,N,N,N,N,N,N,N,,"80,431","59,106","21,325","9,972","10,379","5,630","4,470","1,245","6,001","3,062",475,35,,"86,812","4,316",156,173,591,"1,457","7,731","1,413",433,"11,019",422,0,"10,575","6,071",216,"1,344","2,109","2,289",817,505,"1,168",54,411,"1,359","1,214",471,126,0,,"31,472","31,018","30,036",Alameda County
6,Oakland,,"170,366","61,924","23,552","14,666","3,864","38,564","2,650","26,147","7,540","55,212","8,038","31,703","11,279","43,223","46,167",2.52,3.31,,"429,068","170,366","62,540","14,798","113,178","41,396","26,790",,"175,322","78,780","77,918","2,951","3,526","12,147","189,337","82,415","71,219","4,652","12,403","18,648",,"5,366","1,943",26,45,29,38,55,,"7,677","2,161",,403,67,451,"1,240","2,161","1,440","1,282",,"93,793","5,477","5,099","36,038","20,392","26,787",,"318,281","34,116","17,799","48,157","50,674","18,560","80,386","68,589","266,366","148,975",,"349,546","10,623",,"432,095","50,816","83,890","2,679","286,103","28,008","62,102","20,129",,"429,780","374,995","54,785","52,463","31,327","21,136","15,476","5,660","2,322",,"433,797","310,906","301,891","213,986","87,905","9,015","122,891",,"122,891","60,892","61,999",,"131,906","9,015","3,689","5,326","122,891","38,472","84,419",,"122,891","5,626","52,943","9,112","1,560","52,185","1,465",,"411,486","246,286","165,200","67,942","82,381","28,330","12,910","2,555","48,900","27,516","21,009","9,541",,"433,797","5,188","10,937","1,607","1,662","2,516","24,451","5,064",614,"25,824","1,777","1,297","23,744","12,926",517,"3,115","5,029","2,407","4,891","1,437","3,946",322,"12,686","3,377",816,"1,854",959,"1,568",,"170,366","161,010","154,166",Alameda County
7,Pleasanton,,"29,330","18,144","7,801","1,790",685,"3,583",354,"2,180",718,"5,813","1,030","3,647","2,155","9,989","9,447",2.66,3.04,,"77,989","29,330","18,057","1,876","23,310","3,600","1,816",,"30,747","7,681","19,653",454,749,"2,210","34,814","10,627","18,735",378,"1,661","3,413",,N,N,N,N,N,N,N,,N,N,,N,N,N,N,N,N,N,,"20,440",848,870,"7,421","4,865","6,436",,"56,702",543,"1,336","5,490","8,930","4,273","19,297","16,833","54,823","36,130",,"62,095","2,618",,"77,851","6,735","15,886",673,"48,541","2,449","13,424","3,613",,"77,860","69,332","8,528","8,200","3,830","4,370","3,670",700,328,,"78,250","51,654","51,342","37,396","13,946",312,"26,596",,"26,596","14,223","12,373",,"26,908",312,47,265,"26,596","8,270","18,326",,N,N,N,N,N,N,N,,"75,359","41,944","33,415","9,490","5,976",980,"10,186","2,186","16,742","6,268",511,56,,"78,250","1,922",630,291,118,216,"6,371","1,651",358,"5,913",787,0,"5,289","3,966",249,602,"1,323","1,568",494,79,731,0,125,"1,479",98,164,88,0,,"29,330","29,048","28,635",Alameda County
8,San Leandro,,"30,977","13,537","4,477","2,494",315,"6,033",354,"4,159","1,646","8,913",870,"4,177","2,416","7,489","10,757",2.85,3.48,,"88,388","30,977","13,713","2,488","24,220","11,783","5,207",,"38,229","17,036","17,202",669,630,"2,692","39,280","12,472","15,874",587,"3,822","6,525",,835,126,10,40,0,63,26,,N,N,,N,N,N,N,N,N,N,,"18,480","1,109","1,257","6,052","3,886","6,176",,"67,147","6,653","4,456","15,677","15,772","4,297","14,015","6,277","56,038","20,292",,"74,661","2,550",,"88,620","11,207","14,217",703,"59,853","6,624","14,550","3,880",,"88,391","80,302","8,089","7,480","4,547","2,933","2,567",366,609,,"88,878","54,799","53,775","45,433","8,342","1,024","34,079",,"34,079","20,891","13,188",,"35,103","1,024",558,466,"34,079","8,028","26,051",,N,N,N,N,N,N,N,,"85,439","40,665","44,774","23,920","15,246","6,540","3,688","1,688","23,767","14,732","2,073",960,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,"30,977","29,184","27,298",Alameda County
0,Antioch,,"37,081","19,565","7,584","2,992","1,513","4,869",531,"2,887",879,"9,655","2,427","3,822","1,039","14,343","10,630",3.08,3.47,,"114,145","37,081","19,141","3,053","35,905","15,154","3,811",,"44,723","16,797","22,521",798,"1,164","3,443","46,467","17,233","21,550",915,"2,917","3,852",,"1,627",337,20,61,0,122,31,,N,N,,N,N,N,N,N,N,N,,"31,015","2,148","2,076","12,186","6,755","7,850",,"76,519","5,819","3,588","20,395","18,817","8,418","14,733","4,749","67,112","19,482",,"85,629","4,312",,"114,419","15,877","28,978","1,934","70,266","8,815","15,175","5,128",,"113,320","104,307","9,013","8,958","5,785","3,173","2,747",426,55,,"114,801","87,279","85,170","67,760","17,410","2,109","27,522",,"27,522","14,482","13,040",,"29,631","2,109","1,506",603,"27,522","7,427","20,095",,N,N,N,N,N,N,N,,"106,936","67,229","39,707","16,344","25,867","11,157","3,495","1,066","9,811","4,115",534,6,,"114,801","2,163",128,50,389,716,"5,725",707,175,"5,347",0,44,"4,492","2,792",86,827,613,955,395,463,980,0,"2,758",261,122,357,437,0,,"37,081","36,063","35,020",Contra Costa County
