,City,Total,"    Less than $10,000","    $10,000 to $14,999","    $15,000 to $24,999","    $25,000 to $34,999","    $35,000 to $49,999","    $50,000 to $74,999","    $75,000 to $99,999","    $100,000 to $149,999","    $150,000 to $199,999","    $200,000 or more",Median income (dollars),Mean income (dollars),PERCENT ALLOCATED,    Household income in the past 12 months,    Family income in the past 12 months,    Nonfamily income in the past 12 months,County
0,Alameda,"30,281",3.2%,1.6%,4.8%,4.9%,7.6%,11.7%,11.7%,14.3%,12.6%,27.6%,"115,468","155,556",,29.9%,(X),(X),Alameda County
1,Berkeley,"43,893",7.2%,2.4%,5.0%,6.2%,9.2%,9.7%,9.8%,14.5%,9.0%,26.9%,"101,048","152,028",,31.7%,(X),(X),Alameda County
2,Dublin,"23,688",2.0%,1.3%,0.9%,2.6%,2.7%,5.7%,7.3%,11.9%,13.7%,51.9%,"205,219","221,110",,26.1%,(X),(X),Alameda County
3,Fremont,"75,716",2.9%,2.1%,3.0%,2.6%,3.2%,8.5%,8.0%,17.2%,14.7%,37.8%,"155,968","189,180",,30.9%,(X),(X),Alameda County
4,Hayward,"48,619",5.7%,2.4%,5.2%,5.5%,6.5%,13.3%,13.2%,20.4%,10.9%,17.0%,"96,386","120,442",,41.2%,(X),(X),Alameda County
5,Livermore,"31,472",3.3%,1.8%,5.0%,3.9%,4.2%,9.2%,10.7%,17.9%,14.5%,29.3%,"130,111","161,055",,31.3%,(X),(X),Alameda County
6,Oakland,"170,366",5.9%,5.1%,6.4%,6.0%,8.9%,13.8%,10.2%,14.9%,10.6%,18.2%,"82,236","122,444",,37.1%,(X),(X),Alameda County
7,Pleasanton,"29,330",2.2%,1.9%,1.5%,2.5%,6.1%,9.8%,9.3%,18.4%,12.2%,36.1%,"145,263","194,395",,29.1%,(X),(X),Alameda County
8,San Leandro,"30,977",4.5%,4.9%,8.7%,5.8%,8.7%,11.3%,15.8%,16.8%,9.1%,14.3%,"84,017","106,970",,33.7%,(X),(X),Alameda County
0,Antioch,"37,081",6.5%,2.7%,4.9%,7.1%,8.2%,16.1%,10.2%,17.9%,11.4%,15.0%,"81,008","110,224",,44.4%,(X),(X),Contra Costa County
1,Concord,"46,375",4.4%,2.0%,3.6%,5.2%,12.1%,13.2%,11.9%,18.7%,12.5%,16.5%,"96,961","123,084",,36.3%,(X),(X),Contra Costa County
2,Pittsburg,"23,827",4.0%,5.5%,7.0%,7.2%,5.8%,14.2%,10.7%,26.0%,10.1%,9.3%,"92,800","99,872",,56.2%,(X),(X),Contra Costa County
3,Richmond,"40,019",5.0%,4.9%,8.4%,3.3%,8.8%,15.0%,11.2%,17.2%,12.5%,13.7%,"85,754","112,611",,47.7%,(X),(X),Contra Costa County
4,San Ramon,"29,662",2.4%,0.9%,1.6%,1.3%,4.7%,7.3%,8.5%,17.3%,15.2%,40.8%,"162,388","196,236",,29.3%,(X),(X),Contra Costa County
5,Walnut Creek,"31,035",4.8%,2.8%,1.7%,4.4%,7.3%,10.7%,9.8%,20.9%,14.1%,23.4%,"118,483","143,749",,28.7%,(X),(X),Contra Costa County
0,"Belvedere city, Calif",900,4.7%,1.1%,4.8%,2.0%,2.7%,4.8%,6.8%,9.4%,6.9%,56.9%,"246,500","389,540",,37.6%,(X),(X),Marin County
1,"Corte Madera town, Calif","3,930",1.8%,0.9%,2.4%,2.6%,2.3%,10.1%,8.2%,9.4%,17.9%,44.3%,"183,661","243,760",,32.8%,(X),(X),Marin County
2,"Fairfax town, Calif","3,410",6.5%,1.4%,6.2%,5.7%,8.9%,10.6%,7.0%,21.8%,12.5%,19.6%,"111,290","131,887",,39.6%,(X),(X),Marin County
3,"Larkspur city, Calif","6,213",4.2%,1.4%,4.2%,5.8%,8.4%,9.7%,7.5%,14.3%,9.0%,35.4%,"135,260","197,818",,33.6%,(X),(X),Marin County
4,"Mill Valley city, Calif","5,622",3.1%,2.1%,1.6%,1.9%,4.3%,7.7%,7.0%,15.5%,12.5%,44.3%,"179,529","277,907",,38.0%,(X),(X),Marin County
5,"Novato city, Calif","20,682",2.9%,2.5%,4.7%,4.7%,7.5%,13.0%,11.6%,16.9%,13.5%,22.7%,"107,975","142,676",,34.0%,(X),(X),Marin County
6,"Ross town, Calif",852,0.0%,4.2%,0.5%,0.0%,4.3%,5.4%,5.4%,11.9%,5.4%,62.9%,"250,000+","363,130",,52.1%,(X),(X),Marin County
7,"San Anselmo town, Calif","4,995",2.5%,1.5%,3.7%,2.4%,4.7%,7.0%,10.2%,15.5%,15.8%,36.8%,"153,381","217,811",,27.8%,(X),(X),Marin County
8,"San Rafael city, Calif","23,816",3.0%,3.3%,4.9%,4.2%,8.4%,12.8%,11.0%,17.7%,10.3%,24.3%,"104,521","155,715",,38.7%,(X),(X),Marin County
9,"Sausalito city, Calif","4,117",2.7%,2.9%,1.9%,5.6%,3.3%,7.3%,9.5%,19.5%,15.0%,32.3%,"140,417","194,263",,42.3%,(X),(X),Marin County
10,"Tiburon town, Calif","3,515",1.6%,0.0%,2.2%,2.9%,4.0%,2.6%,7.5%,20.9%,10.8%,47.5%,"192,292","304,909",,31.9%,(X),(X),Marin County
0,Napa,"30,418",6.5%,3.4%,2.6%,5.1%,8.2%,13.8%,13.8%,18.0%,14.2%,14.3%,"92,878","116,399",,35.3%,(X),(X),Napa County
