"Label (Grouping)","San Francisco city; California!!Count","San Francisco city; California!!Percent"
"SEX AND AGE","",""
"    Total population","873,965","100.0%"
"        Under 5 years","34,890","4.0%"
"        5 to 9 years","30,486","3.5%"
"        10 to 14 years","30,152","3.5%"
"        15 to 19 years","30,788","3.5%"
"        20 to 24 years","54,485","6.2%"
"        25 to 29 years","98,991","11.3%"
"        30 to 34 years","103,419","11.8%"
"        35 to 39 years","79,086","9.0%"
"        40 to 44 years","59,410","6.8%"
"        45 to 49 years","55,316","6.3%"
"        50 to 54 years","54,621","6.2%"
"        55 to 59 years","51,981","5.9%"
"        60 to 64 years","48,241","5.5%"
"        65 to 69 years","44,080","5.0%"
"        70 to 74 years","37,105","4.2%"
"        75 to 79 years","22,971","2.6%"
"        80 to 84 years","17,292","2.0%"
"        85 years and over","20,651","2.4%"
"        Selected Age Categories","",""
"            16 years and over","772,514","88.4%"
"            18 years and over","760,738","87.0%"
"            21 years and over","739,967","84.7%"
"            62 years and over","170,412","19.5%"
"            65 years and over","142,099","16.3%"
"    Male population","446,144","100.0%"
"        Under 5 years","17,726","4.0%"
"        5 to 9 years","15,530","3.5%"
"        10 to 14 years","15,309","3.4%"
"        15 to 19 years","15,391","3.4%"
"        20 to 24 years","26,513","5.9%"
"        25 to 29 years","50,311","11.3%"
"        30 to 34 years","54,392","12.2%"
"        35 to 39 years","42,373","9.5%"
"        40 to 44 years","31,527","7.1%"
"        45 to 49 years","29,547","6.6%"
"        50 to 54 years","29,587","6.6%"
"        55 to 59 years","27,927","6.3%"
"        60 to 64 years","24,874","5.6%"
"        65 to 69 years","21,986","4.9%"
"        70 to 74 years","17,629","4.0%"
"        75 to 79 years","10,445","2.3%"
"        80 to 84 years","7,373","1.7%"
"        85 years and over","7,704","1.7%"
"        Selected Age Categories","",""
"            16 years and over","394,592","88.4%"
"            18 years and over","388,550","87.1%"
"            21 years and over","378,449","84.8%"
"            62 years and over","79,640","17.9%"
"            65 years and over","65,137","14.6%"
"    Female population","427,821","100.0%"
"        Under 5 years","17,164","4.0%"
"        5 to 9 years","14,956","3.5%"
"        10 to 14 years","14,843","3.5%"
"        15 to 19 years","15,397","3.6%"
"        20 to 24 years","27,972","6.5%"
"        25 to 29 years","48,680","11.4%"
"        30 to 34 years","49,027","11.5%"
"        35 to 39 years","36,713","8.6%"
"        40 to 44 years","27,883","6.5%"
"        45 to 49 years","25,769","6.0%"
"        50 to 54 years","25,034","5.9%"
"        55 to 59 years","24,054","5.6%"
"        60 to 64 years","23,367","5.5%"
"        65 to 69 years","22,094","5.2%"
"        70 to 74 years","19,476","4.6%"
"        75 to 79 years","12,526","2.9%"
"        80 to 84 years","9,919","2.3%"
"        85 years and over","12,947","3.0%"
"        Selected Age Categories","",""
"            16 years and over","377,922","88.3%"
"            18 years and over","372,188","87.0%"
"            21 years and over","361,518","84.5%"
"            62 years and over","90,772","21.2%"
"            65 years and over","76,962","18.0%"
"MEDIAN AGE BY SEX","",""
"    Both sexes","38.2","(X)"
"    Male","38.1","(X)"
"    Female","38.3","(X)"
"RACE","",""
"    Total population","873,965","100.0%"
"        One Race","787,732","90.1%"
"            White","361,382","41.3%"
"            Black or African American","46,725","5.3%"
"            American Indian and Alaska Native","6,475","0.7%"
"            Asian","296,505","33.9%"
"            Native Hawaiian and Other Pacific Islander","3,476","0.4%"
"            Some Other Race","73,169","8.4%"
"        Two or More Races","86,233","9.9%"
"TOTAL RACES TALLIED [1]","",""
"    Total races tallied","969,241","110.9%"
"        White alone or in combination with one or more other races","438,710","50.2%"
"        Black or African American alone or in combination with one or more other races","59,840","6.8%"
"        American Indian and Alaska Native alone or in combination with one or more other races","18,075","2.1%"
"        Asian alone or in combination with one or more other races","328,095","37.5%"
"        Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races","7,090","0.8%"
"        Some Other Race alone or in combination with one or more other races","117,431","13.4%"
"HISPANIC OR LATINO","",""
"    Total population","873,965","100.0%"
"        Hispanic or Latino (of any race)","136,761","15.6%"
"        Not Hispanic or Latino","737,204","84.4%"
"HISPANIC OR LATINO BY RACE","",""
"    Total population","873,965","100.0%"
"        Hispanic or Latino","136,761","15.6%"
"            White alone","20,076","2.3%"
"            Black or African American alone","1,654","0.2%"
"            American Indian and Alaska Native alone","4,905","0.6%"
"            Asian alone","2,285","0.3%"
"            Native Hawaiian and Other Pacific Islander alone","232","0.0%"
"            Some Other Race alone","66,822","7.6%"
"            Two or More Races","40,787","4.7%"
"        Not Hispanic or Latino","737,204","84.4%"
"            White alone","341,306","39.1%"
"            Black or African American alone","45,071","5.2%"
"            American Indian and Alaska Native alone","1,570","0.2%"
"            Asian alone","294,220","33.7%"
"            Native Hawaiian and Other Pacific Islander alone","3,244","0.4%"
"            Some Other Race alone","6,347","0.7%"
"            Two or More Races","45,446","5.2%"
"RELATIONSHIP","",""
"    Total population","873,965","100.0%"
"        In households","846,073","96.8%"
"            Householder","371,885","42.6%"
"            Opposite-sex spouse","118,612","13.6%"
"            Same-sex spouse","7,231","0.8%"
"            Opposite-sex unmarried partner","28,557","3.3%"
"            Same-sex unmarried partner","5,243","0.6%"
"            Child [2]","153,847","17.6%"
"                Under 18 years","95,571","10.9%"
"            Grandchild","11,621","1.3%"
"                Under 18 years","8,014","0.9%"
"            Other relatives","59,176","6.8%"
"            Nonrelatives","89,901","10.3%"
"        In group quarters","27,892","3.2%"
"            Institutionalized population:","4,014","0.5%"
"                Male","2,354","0.3%"
"                Female","1,660","0.2%"
"            Noninstitutionalized population:","23,878","2.7%"
"                Male","14,482","1.7%"
"                Female","9,396","1.1%"
"HOUSEHOLDS BY TYPE","",""
"    Total households","371,851","100.0%"
"        Married couple household","125,821","33.8%"
"            With own children under 18 [3]","43,319","11.6%"
"        Cohabiting couple household","33,810","9.1%"
"            With own children under 18 [3]","3,126","0.8%"
"        Male householder, no spouse or partner present:","101,674","27.3%"
"            Living alone","68,566","18.4%"
"                65 years and over","16,483","4.4%"
"            With own children under 18 [3]","3,832","1.0%"
"        Female householder, no spouse or partner present:","110,546","29.7%"
"            Living alone","66,168","17.8%"
"                65 years and over","25,396","6.8%"
"            With own children under 18 [3]","8,976","2.4%"
"        Households with individuals under 18 years","69,027","18.6%"
"        Households with individuals 65 years and over","102,961","27.7%"
"HOUSING OCCUPANCY","",""
"    Total housing units","406,628","100.0%"
"        Occupied housing units","371,851","91.4%"
"        Vacant housing units","34,777","8.6%"
"            For rent","15,633","3.8%"
"            Rented, not occupied","1,811","0.4%"
"            For sale only","1,607","0.4%"
"            Sold, not occupied","1,212","0.3%"
"            For seasonal, recreational, or occasional use","4,815","1.2%"
"            All other vacants","9,699","2.4%"
"VACANCY RATES","",""
"    Homeowner vacancy rate (percent) [4]","1.2","(X)"
"    Rental vacancy rate (percent) [5]","6.0","(X)"
"HOUSING TENURE","",""
"    Occupied housing units","371,851","100.0%"
"        Owner-occupied housing units","126,924","34.1%"
"        Renter-occupied housing units","244,927","65.9%"
