Column1,City,Total population,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,16 years and over,18 years and over,21 years and over,62 years and over,65 years and over,    Male population,Male - Under 5 years,Male - 5 to 9 years,Male - 10 to 14 years,Male - 15 to 19 years,Male - 20 to 24 years,Male - 25 to 29 years,Male - 30 to 34 years,Male - 35 to 39 years,Male - 40 to 44 years,Male - 45 to 49 years,Male - 50 to 54 years,Male - 55 to 59 years,Male - 60 to 64 years,Male - 65 to 69 years,Male - 70 to 74 years,Male - 75 to 79 years,Male - 80 to 84 years,Male - 85 years and over,Female population,Female - Under 5 years,Female - 5 to 9 years,Female - 10 to 14 years,Female - 15 to 19 years,Female - 20 to 24 years,Female - 25 to 29 years,Female - 30 to 34 years,Female - 35 to 39 years,Female - 40 to 44 years,Female - 45 to 49 years,Female - 50 to 54 years,Female - 55 to 59 years,Female - 60 to 64 years,Female - 65 to 69 years,Female - 70 to 74 years,Female - 75 to 79 years,Female - 80 to 84 years,Female - 85 years and over,Median Age_Both sexes,Median Age_Male,Median Age_Female,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races,County
0,Alameda,78280,4118,4493,4449,4047,3773,4641,5629,6197,5748,5911,5527,5124,4912,4507,3649,2308,1472,1775,64341,62671,60466,16563,13711,37328,2104,2275,2290,2107,1916,2304,2742,2926,2715,2699,2622,2389,2265,2111,1657,991,590,625,40952,2014,2218,2159,1940,1857,2337,2887,3271,3033,3212,2905,2735,2647,2396,1992,1317,882,1150,41.4,40,42.9,34102,4608,441,25412,399,3244,10074,Alameda County
1,Albany,20271,1057,1217,1317,1989,1181,1436,1555,1416,1398,1424,1235,1054,956,961,914,507,278,376,16400,15889,14403,3618,3036,9657,540,626,683,982,590,700,758,673,649,661,576,494,418,416,414,203,124,150,10614,517,591,634,1007,591,736,797,743,749,763,659,560,538,545,500,304,154,226,36.3,34.6,37.8,9446,716,90,6184,17,1131,2687,Alameda County
2,Berkeley,124321,4097,4082,4352,12921,21960,11848,9351,7271,6252,6085,5790,5827,5559,5539,5612,3780,2088,1907,110797,108927,92716,22174,18926,60913,2093,2048,2272,5994,10919,5984,4847,3645,3032,3097,2903,2866,2677,2628,2567,1690,937,714,63408,2004,2034,2080,6927,11041,5864,4504,3626,3220,2988,2887,2961,2882,2911,3045,2090,1151,1193,31.3,30.9,31.7,66267,9812,653,24896,265,7848,14580,Alameda County
3,Dublin,72589,4900,5965,5472,4127,3143,4321,6153,7955,7441,6057,4475,3712,2896,2038,1667,1111,668,488,55314,53504,51517,7707,5972,34737,2453,2992,2806,2112,1523,2087,2716,3556,3619,3091,2116,1715,1342,920,722,471,308,188,37852,2447,2973,2666,2015,1620,2234,3437,4399,3822,2966,2359,1997,1554,1118,945,640,360,300,36.4,36,36.8,21105,2876,517,39077,221,2642,6151,Alameda County
4,Emeryville,12905,578,343,321,266,924,1876,2146,1475,944,753,627,585,559,464,393,309,175,167,11612,11510,11292,1831,1508,6278,286,165,182,138,409,911,1110,761,491,370,314,283,244,190,173,124,71,56,6627,292,178,139,128,515,965,1036,714,453,383,313,302,315,274,220,185,104,111,35,34.7,35.4,4796,2015,76,3965,54,617,1382,Alameda County
5,Fremont,230504,13494,16059,15691,13444,11419,14487,18337,20383,18519,16675,14586,14620,12724,10030,7645,5011,3626,3754,182241,176491,169599,37369,30066,115285,7009,8359,8054,6919,6010,7487,8898,10075,9285,8642,7363,7312,6298,4824,3588,2235,1497,1430,115219,6485,7700,7637,6525,5409,7000,9439,10308,9234,8033,7223,7308,6426,5206,4057,2776,2129,2324,38,37.4,38.5,42480,5362,1353,147465,1045,15230,17569,Alameda County
6,Hayward,162954,9387,9439,9986,10310,11711,13299,14123,12822,10877,9973,9995,10388,9404,7546,5413,3487,2279,2515,132243,128390,121480,26643,21240,80326,4771,4718,5087,5117,5850,6753,7184,6512,5520,5018,4951,4971,4482,3609,2476,1544,916,847,82628,4616,4721,4899,5193,5861,6546,6939,6310,5357,4955,5044,5417,4922,3937,2937,1943,1363,1668,36.2,35.5,36.9,27955,14693,2562,48315,5104,43338,20987,Alameda County
7,Livermore,87955,5000,5496,5623,5456,4583,5007,6207,6674,5935,5880,6556,6891,5850,4108,3279,2381,1446,1583,70723,68417,65439,16064,12797,43572,2602,2804,2872,2809,2450,2576,3082,3283,2950,2903,3217,3377,2931,1931,1525,1039,634,587,44383,2398,2692,2751,2647,2133,2431,3125,3391,2985,2977,3339,3514,2919,2177,1754,1342,812,996,39.9,38.9,40.9,52469,1739,731,12819,242,7563,12392,Alameda County
8,Newark,47529,3179,2597,2490,2582,2668,3701,4843,4198,3059,2994,2947,3172,2771,2068,1578,1118,839,725,38761,37743,36166,7891,6328,23924,1637,1315,1305,1362,1370,1921,2478,2185,1584,1485,1444,1592,1366,972,754,477,379,298,23605,1542,1282,1185,1220,1298,1780,2365,2013,1475,1509,1503,1580,1405,1096,824,641,460,427,36.8,36,37.7,10762,1584,560,19801,693,8317,5812,Alameda County
9,Oakland,440646,23210,23364,23880,22552,24267,38443,45860,40381,32865,29631,27044,24823,22792,20645,16819,10480,6293,7297,365590,356394,343201,74976,61534,214508,11657,12032,12199,11639,11859,18330,22316,19730,16132,14872,13770,12054,10939,9536,7606,4602,2700,2535,226138,11553,11332,11681,10913,12408,20113,23544,20651,16733,14759,13274,12769,11853,11109,9213,5878,3593,4762,37.2,36.6,37.7,132297,93820,8530,70806,2884,80504,51805,Alameda County
