"Label (Grouping)","Antioch city, California!!Estimate","Antioch city, California!!Margin of Error","Antioch city, California!!Percent","Antioch city, California!!Percent Margin of Error","Concord city, California!!Estimate","Concord city, California!!Margin of Error","Concord city, California!!Percent","Concord city, California!!Percent Margin of Error","Pittsburg city, California!!Estimate","Pittsburg city, California!!Margin of Error","Pittsburg city, California!!Percent","Pittsburg city, California!!Percent Margin of Error","Richmond city, California!!Estimate","Richmond city, California!!Margin of Error","Richmond city, California!!Percent","Richmond city, California!!Percent Margin of Error","San Ramon city, California!!Estimate","San Ramon city, California!!Margin of Error","San Ramon city, California!!Percent","San Ramon city, California!!Percent Margin of Error","Walnut Creek city, California!!Estimate","Walnut Creek city, California!!Margin of Error","Walnut Creek city, California!!Percent","Walnut Creek city, California!!Percent Margin of Error"
"EMPLOYMENT STATUS","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 16 years and over","89,692","±3,070","89,692","(X)","101,576","±3,029","101,576","(X)","62,848","±2,062","62,848","(X)","92,405","±2,734","92,405","(X)","64,637","±2,060","64,637","(X)","57,993","±2,014","57,993","(X)"
"        In labor force","56,447","±3,168","62.9%","±3.3","66,300","±3,273","65.3%","±2.9","43,032","±2,213","68.5%","±3.2","62,625","±3,450","67.8%","±3.0","44,576","±2,212","69.0%","±2.8","34,452","±2,321","59.4%","±3.4"
"            Civilian labor force","56,269","±3,095","62.7%","±3.3","66,258","±3,280","65.2%","±2.9","42,841","±2,171","68.2%","±3.2","62,492","±3,444","67.6%","±3.1","44,576","±2,212","69.0%","±2.8","34,119","±2,314","58.8%","±3.4"
"                Employed","51,393","±3,133","57.3%","±3.4","61,809","±3,357","60.9%","±3.0","38,107","±2,287","60.6%","±3.5","56,564","±3,648","61.2%","±3.5","42,794","±2,188","66.2%","±2.8","33,091","±2,427","57.1%","±3.6"
"                Unemployed","4,876","±1,535","5.4%","±1.7","4,449","±1,315","4.4%","±1.3","4,734","±1,275","7.5%","±2.0","5,928","±1,586","6.4%","±1.7","1,782","±530","2.8%","±0.8","1,028","±473","1.8%","±0.8"
"            Armed Forces","178","±298","0.2%","±0.3","42","±71","0.0%","±0.1","191","±320","0.3%","±0.5","133","±170","0.1%","±0.2","0","±218","0.0%","±0.3","333","±392","0.6%","±0.7"
"        Not in labor force","33,245","±3,426","37.1%","±3.3","35,276","±3,216","34.7%","±2.9","19,816","±2,215","31.5%","±3.2","29,780","±2,904","32.2%","±3.0","20,061","±1,921","31.0%","±2.8","23,541","±2,132","40.6%","±3.4"
"    Civilian labor force","56,269","±3,095","56,269","(X)","66,258","±3,280","66,258","(X)","42,841","±2,171","42,841","(X)","62,492","±3,444","62,492","(X)","44,576","±2,212","44,576","(X)","34,119","±2,314","34,119","(X)"
"        Unemployment Rate","(X)","(X)","8.7%","±2.7","(X)","(X)","6.7%","±2.0","(X)","(X)","11.1%","±2.9","(X)","(X)","9.5%","±2.5","(X)","(X)","4.0%","±1.2","(X)","(X)","3.0%","±1.4"
