"Label (Grouping)","San Francisco city, California!!Estimate","San Francisco city, California!!Margin of Error","San Francisco city, California!!Percent","San Francisco city, California!!Percent Margin of Error"
"EMPLOYMENT STATUS","","","",""
"    Population 16 years and over","713,617","±1,078","713,617","(X)"
"        In labor force","489,596","±5,945","68.6%","±0.8"
"            Civilian labor force","489,407","±5,944","68.6%","±0.8"
"                Employed","448,416","±7,372","62.8%","±1.0"
"                Unemployed","40,991","±4,546","5.7%","±0.6"
"            Armed Forces","189","±188","0.0%","±0.1"
"        Not in labor force","224,021","±6,070","31.4%","±0.8"
"    Civilian labor force","489,407","±5,944","489,407","(X)"
"        Unemployment Rate","(X)","(X)","8.4%","±0.9"
"    Females 16 years and over","348,517","±765","348,517","(X)"
"        In labor force","224,122","±3,931","64.3%","±1.1"
"            Civilian labor force","224,035","±3,928","64.3%","±1.1"
"                Employed","206,450","±4,591","59.2%","±1.3"
"    Own children of the householder under 6 years","36,954","±2,044","36,954","(X)"
"        All parents in family in labor force","28,641","±2,355","77.5%","±5.1"
"    Own children of the householder 6 to 17 years","68,146","±2,067","68,146","(X)"
"        All parents in family in labor force","48,066","±3,248","70.5%","±4.2"
"COMMUTING TO WORK","","","",""
"    Workers 16 years and over","438,943","±7,596","438,943","(X)"
"        Car, truck, or van -- drove alone","118,249","±6,140","26.9%","±1.4"
"        Car, truck, or van -- carpooled","20,042","±3,138","4.6%","±0.7"
"        Public transportation (excluding taxicab)","49,819","±4,467","11.3%","±1.0"
"        Walked","29,203","±3,212","6.7%","±0.7"
"        Other means","21,547","±2,622","4.9%","±0.6"
"        Worked from home","200,083","±7,499","45.6%","±1.5"
"        Mean travel time to work (minutes)","29.2","±0.8","(X)","(X)"
"OCCUPATION","","","",""
"    Civilian employed population 16 years and over","448,416","±7,372","448,416","(X)"
"        Management, business, science, and arts occupations","294,957","±7,743","65.8%","±1.2"
"        Service occupations","53,149","±4,522","11.9%","±1.0"
"        Sales and office occupations","64,329","±4,445","14.3%","±1.0"
"        Natural resources, construction, and maintenance occupations","11,562","±1,776","2.6%","±0.4"
"        Production, transportation, and material moving occupations","24,419","±3,159","5.4%","±0.7"
"INDUSTRY","","","",""
"    Civilian employed population 16 years and over","448,416","±7,372","448,416","(X)"
"        Agriculture, forestry, fishing and hunting, and mining","1,198","±558","0.3%","±0.1"
"        Construction","11,687","±2,084","2.6%","±0.5"
"        Manufacturing","20,222","±2,702","4.5%","±0.6"
"        Wholesale trade","9,230","±1,837","2.1%","±0.4"
"        Retail trade","34,810","±3,204","7.8%","±0.7"
"        Transportation and warehousing, and utilities","20,795","±2,352","4.6%","±0.5"
"        Information","29,115","±3,748","6.5%","±0.8"
"        Finance and insurance, and real estate and rental and leasing","34,554","±3,605","7.7%","±0.8"
"        Professional, scientific, and management, and administrative and waste management services","124,045","±6,176","27.7%","±1.2"
"        Educational services, and health care and social assistance","97,923","±5,665","21.8%","±1.2"
"        Arts, entertainment, and recreation, and accommodation and food services","30,453","±3,678","6.8%","±0.8"
