"Label (Grouping)","Daly City city, California!!Estimate","Daly City city, California!!Margin of Error","Daly City city, California!!Percent","Daly City city, California!!Percent Margin of Error","Redwood City city, California!!Estimate","Redwood City city, California!!Margin of Error","Redwood City city, California!!Percent","Redwood City city, California!!Percent Margin of Error","San Mateo city, California!!Estimate","San Mateo city, California!!Margin of Error","San Mateo city, California!!Percent","San Mateo city, California!!Percent Margin of Error"
"EMPLOYMENT STATUS","","","","","","","","","","","",""
"    Population 16 years and over","89,217","±2,028","89,217","(X)","67,578","±1,988","67,578","(X)","83,845","±2,506","83,845","(X)"
"        In labor force","60,099","±2,792","67.4%","±2.7","47,861","±2,447","70.8%","±3.1","57,707","±2,594","68.8%","±2.6"
"            Civilian labor force","60,066","±2,798","67.3%","±2.7","47,861","±2,447","70.8%","±3.1","57,707","±2,594","68.8%","±2.6"
"                Employed","54,751","±2,962","61.4%","±2.9","44,703","±2,144","66.2%","±2.7","53,888","±2,892","64.3%","±2.9"
"                Unemployed","5,315","±1,413","6.0%","±1.6","3,158","±1,191","4.7%","±1.7","3,819","±1,354","4.6%","±1.6"
"            Armed Forces","33","±54","0.0%","±0.1","0","±218","0.0%","±0.3","0","±218","0.0%","±0.2"
"        Not in labor force","29,118","±2,451","32.6%","±2.7","19,717","±2,186","29.2%","±3.1","26,138","±2,371","31.2%","±2.6"
"    Civilian labor force","60,066","±2,798","60,066","(X)","47,861","±2,447","47,861","(X)","57,707","±2,594","57,707","(X)"
"        Unemployment Rate","(X)","(X)","8.8%","±2.3","(X)","(X)","6.6%","±2.4","(X)","(X)","6.6%","±2.4"
"    Females 16 years and over","43,058","±2,160","43,058","(X)","33,977","±1,835","33,977","(X)","43,753","±2,152","43,753","(X)"
"        In labor force","26,831","±2,220","62.3%","±3.9","22,819","±1,717","67.2%","±3.5","27,427","±2,010","62.7%","±3.8"
"            Civilian labor force","26,831","±2,220","62.3%","±3.9","22,819","±1,717","67.2%","±3.5","27,427","±2,010","62.7%","±3.8"
"                Employed","24,433","±2,111","56.7%","±4.2","20,777","±1,636","61.2%","±3.2","25,167","±1,948","57.5%","±3.9"
"    Own children of the householder under 6 years","N","N","N","N","4,656","±1,088","4,656","(X)","7,190","±1,537","7,190","(X)"
"        All parents in family in labor force","N","N","N","N","3,408","±916","73.2%","±9.7","5,895","±1,356","82.0%","±9.7"
"    Own children of the householder 6 to 17 years","N","N","N","N","10,874","±2,082","10,874","(X)","12,903","±2,133","12,903","(X)"
"        All parents in family in labor force","N","N","N","N","8,711","±1,641","80.1%","±10.0","10,521","±2,263","81.5%","±10.0"
"COMMUTING TO WORK","","","","","","","","","","","",""
"    Workers 16 years and over","53,079","±2,894","53,079","(X)","44,201","±2,113","44,201","(X)","53,287","±2,832","53,287","(X)"
"        Car, truck, or van -- drove alone","30,538","±2,913","57.5%","±4.7","21,324","±2,270","48.2%","±4.8","24,577","±2,442","46.1%","±3.4"
"        Car, truck, or van -- carpooled","5,544","±2,031","10.4%","±3.7","3,178","±976","7.2%","±2.2","5,336","±1,678","10.0%","±3.1"
"        Public transportation (excluding taxicab)","4,112","±1,219","7.7%","±2.2","828","±683","1.9%","±1.5","1,618","±942","3.0%","±1.7"
"        Walked","1,637","±1,065","3.1%","±2.0","1,025","±583","2.3%","±1.3","1,268","±515","2.4%","±1.0"
"        Other means","1,515","±865","2.9%","±1.7","605","±344","1.4%","±0.8","1,651","±875","3.1%","±1.6"
"        Worked from home","9,733","±1,836","18.3%","±3.3","17,241","±2,187","39.0%","±4.4","18,837","±2,189","35.4%","±3.9"
"        Mean travel time to work (minutes)","28.1","±2.5","(X)","(X)","21.5","±1.3","(X)","(X)","25.0","±1.8","(X)","(X)"
"OCCUPATION","","","","","","","","","","","",""
"    Civilian employed population 16 years and over","54,751","±2,962","54,751","(X)","44,703","±2,144","44,703","(X)","53,888","±2,892","53,888","(X)"
"        Management, business, science, and arts occupations","21,900","±2,724","40.0%","±4.7","27,603","±2,263","61.7%","±3.9","30,628","±2,356","56.8%","±3.8"
"        Service occupations","8,575","±1,817","15.7%","±3.3","6,453","±1,454","14.4%","±3.2","7,517","±1,617","13.9%","±2.8"
"        Sales and office occupations","13,306","±2,112","24.3%","±3.4","5,900","±1,297","13.2%","±2.8","9,432","±1,975","17.5%","±3.4"
"        Natural resources, construction, and maintenance occupations","2,634","±1,238","4.8%","±2.2","2,343","±805","5.2%","±1.8","3,231","±954","6.0%","±1.7"
"        Production, transportation, and material moving occupations","8,336","±1,639","15.2%","±2.9","2,404","±754","5.4%","±1.6","3,080","±1,114","5.7%","±2.1"
"INDUSTRY","","","","","","","","","","","",""
"    Civilian employed population 16 years and over","54,751","±2,962","54,751","(X)","44,703","±2,144","44,703","(X)","53,888","±2,892","53,888","(X)"
"        Agriculture, forestry, fishing and hunting, and mining","175","±212","0.3%","±0.4","231","±181","0.5%","±0.4","0","±218","0.0%","±0.4"
"        Construction","2,275","±1,282","4.2%","±2.3","2,358","±894","5.3%","±2.0","2,353","±869","4.4%","±1.6"
"        Manufacturing","3,285","±994","6.0%","±1.8","3,821","±1,013","8.5%","±2.3","5,501","±1,418","10.2%","±2.6"
"        Wholesale trade","704","±648","1.3%","±1.2","614","±353","1.4%","±0.8","1,274","±627","2.4%","±1.2"
"        Retail trade","7,489","±1,535","13.7%","±2.6","2,562","±770","5.7%","±1.7","4,372","±1,247","8.1%","±2.2"
"        Transportation and warehousing, and utilities","7,012","±1,612","12.8%","±2.9","1,875","±605","4.2%","±1.3","2,212","±741","4.1%","±1.4"
"        Information","1,103","±469","2.0%","±0.9","3,891","±919","8.7%","±2.0","3,637","±878","6.7%","±1.7"
"        Finance and insurance, and real estate and rental and leasing","4,336","±1,095","7.9%","±1.9","2,640","±956","5.9%","±2.2","3,999","±1,043","7.4%","±1.9"
"        Professional, scientific, and management, and administrative and waste management services","7,283","±1,616","13.3%","±3.0","12,060","±1,786","27.0%","±3.7","13,830","±1,987","25.7%","±3.3"
"        Educational services, and health care and social assistance","12,543","±2,061","22.9%","±3.7","8,431","±1,198","18.9%","±2.6","9,865","±1,558","18.3%","±2.6"
"        Arts, entertainment, and recreation, and accommodation and food services","5,065","±1,434","9.3%","±2.5","3,111","±1,140","7.0%","±2.5","3,975","±1,048","7.4%","±1.9"
"        Other services, except public administration","2,258","±1,062","4.1%","±1.9","1,886","±703","4.2%","±1.6","1,656","±596","3.1%","±1.1"
"        Public administration","1,223","±523","2.2%","±0.9","1,223","±618","2.7%","±1.4","1,214","±493","2.3%","±0.9"
"CLASS OF WORKER","","","","","","","","","","","",""
"    Civilian employed population 16 years and over","54,751","±2,962","54,751","(X)","44,703","±2,144","44,703","(X)","53,888","±2,892","53,888","(X)"
"        Private wage and salary workers","43,727","±3,672","79.9%","±4.3","37,357","±2,404","83.6%","±3.1","45,312","±2,807","84.1%","±2.9"
"        Government workers","7,405","±1,608","13.5%","±2.9","3,574","±855","8.0%","±1.9","4,934","±1,155","9.2%","±2.0"
"        Self-employed in own not incorporated business workers","3,428","±1,413","6.3%","±2.6","3,772","±1,092","8.4%","±2.5","3,591","±1,037","6.7%","±1.9"
"        Unpaid family workers","191","±307","0.3%","±0.6","0","±218","0.0%","±0.4","51","±83","0.1%","±0.2"
"INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","",""
"    Total households","32,887","±2,236","32,887","(X)","29,450","±1,631","29,450","(X)","39,340","±1,879","39,340","(X)"
"        Less than $10,000","1,344","±690","4.1%","±2.0","579","±347","2.0%","±1.2","1,775","±851","4.5%","±2.1"
"        $10,000 to $14,999","1,741","±888","5.3%","±2.6","79","±94","0.3%","±0.3","525","±409","1.3%","±1.0"
"        $15,000 to $24,999","1,097","±674","3.3%","±2.0","999","±550","3.4%","±1.8","1,254","±767","3.2%","±1.9"
"        $25,000 to $34,999","2,052","±874","6.2%","±2.5","761","±377","2.6%","±1.3","1,152","±592","2.9%","±1.5"
"        $35,000 to $49,999","1,929","±826","5.9%","±2.4","1,702","±807","5.8%","±2.7","2,890","±843","7.3%","±2.1"
"        $50,000 to $74,999","5,544","±1,424","16.9%","±4.1","3,087","±1,036","10.5%","±3.3","5,148","±1,061","13.1%","±2.5"
"        $75,000 to $99,999","3,314","±1,079","10.1%","±3.1","1,952","±621","6.6%","±2.0","3,169","±859","8.1%","±2.2"
"        $100,000 to $149,999","6,976","±1,318","21.2%","±4.4","6,275","±1,231","21.3%","±4.1","6,480","±1,181","16.5%","±2.9"
"        $150,000 to $199,999","3,385","±1,071","10.3%","±3.3","3,222","±777","10.9%","±2.7","3,257","±758","8.3%","±2.0"
"        $200,000 or more","5,505","±1,132","16.7%","±3.4","10,794","±1,354","36.7%","±4.5","13,690","±1,441","34.8%","±3.7"
"        Median household income (dollars)","95,424","±17,674","(X)","(X)","145,128","±13,875","(X)","(X)","129,957","±7,907","(X)","(X)"
"        Mean household income (dollars)","123,694","±13,442","(X)","(X)","219,830","±27,290","(X)","(X)","191,726","±13,337","(X)","(X)"
"        With earnings","26,754","±1,787","81.4%","±3.4","25,796","±1,425","87.6%","±3.6","31,617","±1,836","80.4%","±3.5"
"            Mean earnings (dollars)","114,809","±9,607","(X)","(X)","213,701","±19,155","(X)","(X)","204,117","±15,167","(X)","(X)"
