"Label (Grouping)","Fairfield city, California!!Estimate","Fairfield city, California!!Margin of Error","Fairfield city, California!!Percent","Fairfield city, California!!Percent Margin of Error","Vacaville city, California!!Estimate","Vacaville city, California!!Margin of Error","Vacaville city, California!!Percent","Vacaville city, California!!Percent Margin of Error","Vallejo city, California!!Estimate","Vallejo city, California!!Margin of Error","Vallejo city, California!!Percent","Vallejo city, California!!Percent Margin of Error"
"EMPLOYMENT STATUS","","","","","","","","","","","",""
"    Population 16 years and over","90,943","±2,391","90,943","(X)","84,593","±2,741","84,593","(X)","102,270","±2,753","102,270","(X)"
"        In labor force","56,388","±2,761","62.0%","±2.6","52,888","±2,802","62.5%","±2.8","63,141","±3,250","61.7%","±2.9"
"            Civilian labor force","54,378","±2,802","59.8%","±2.7","51,242","±2,847","60.6%","±3.0","63,088","±3,253","61.7%","±2.9"
"                Employed","50,252","±2,815","55.3%","±2.9","48,532","±2,936","57.4%","±3.0","56,850","±3,082","55.6%","±2.8"
"                Unemployed","4,126","±1,154","4.5%","±1.3","2,710","±995","3.2%","±1.2","6,238","±1,562","6.1%","±1.5"
"            Armed Forces","2,010","±648","2.2%","±0.7","1,646","±885","1.9%","±1.0","53","±87","0.1%","±0.1"
"        Not in labor force","34,555","±2,611","38.0%","±2.6","31,705","±2,685","37.5%","±2.8","39,129","±3,281","38.3%","±2.9"
"    Civilian labor force","54,378","±2,802","54,378","(X)","51,242","±2,847","51,242","(X)","63,088","±3,253","63,088","(X)"
"        Unemployment Rate","(X)","(X)","7.6%","±2.1","(X)","(X)","5.3%","±1.9","(X)","(X)","9.9%","±2.4"
"    Females 16 years and over","45,558","±1,893","45,558","(X)","40,010","±2,039","40,010","(X)","52,987","±2,578","52,987","(X)"
"        In labor force","25,013","±2,016","54.9%","±4.0","25,404","±2,143","63.5%","±4.4","29,249","±2,274","55.2%","±3.4"
"            Civilian labor force","24,807","±1,978","54.5%","±3.9","25,017","±2,107","62.5%","±4.4","29,249","±2,274","55.2%","±3.4"
"                Employed","22,887","±2,138","50.2%","±4.2","23,565","±2,231","58.9%","±4.6","26,500","±2,283","50.0%","±3.6"
"    Own children of the householder under 6 years","11,104","±1,699","11,104","(X)","6,472","±1,375","6,472","(X)","6,177","±1,441","6,177","(X)"
"        All parents in family in labor force","6,735","±1,419","60.7%","±12.6","4,630","±1,285","71.5%","±12.5","3,133","±1,040","50.7%","±14.3"
"    Own children of the householder 6 to 17 years","19,330","±2,306","19,330","(X)","13,624","±2,192","13,624","(X)","16,275","±2,225","16,275","(X)"
"        All parents in family in labor force","13,193","±2,232","68.3%","±8.4","11,038","±2,317","81.0%","±7.7","10,594","±2,055","65.1%","±9.5"
"COMMUTING TO WORK","","","","","","","","","","","",""
"    Workers 16 years and over","50,432","±2,617","50,432","(X)","48,361","±2,857","48,361","(X)","55,033","±3,337","55,033","(X)"
"        Car, truck, or van -- drove alone","34,960","±2,847","69.3%","±3.9","39,099","±2,695","80.8%","±3.2","38,323","±3,103","69.6%","±3.4"
"        Car, truck, or van -- carpooled","4,508","±1,139","8.9%","±2.2","2,182","±904","4.5%","±1.8","6,901","±1,864","12.5%","±3.2"
"        Public transportation (excluding taxicab)","1,541","±1,116","3.1%","±2.2","253","±222","0.5%","±0.5","1,511","±710","2.7%","±1.3"
"        Walked","900","±627","1.8%","±1.3","665","±419","1.4%","±0.9","906","±418","1.6%","±0.8"
"        Other means","1,627","±686","3.2%","±1.3","364","±269","0.8%","±0.6","1,353","±738","2.5%","±1.3"
"        Worked from home","6,896","±1,538","13.7%","±3.0","5,798","±1,378","12.0%","±2.7","6,039","±1,221","11.0%","±2.3"
"        Mean travel time to work (minutes)","30.0","±2.3","(X)","(X)","29.2","±3.9","(X)","(X)","34.3","±2.4","(X)","(X)"
"OCCUPATION","","","","","","","","","","","",""
"    Civilian employed population 16 years and over","50,252","±2,815","50,252","(X)","48,532","±2,936","48,532","(X)","56,850","±3,082","56,850","(X)"
"        Management, business, science, and arts occupations","18,048","±2,318","35.9%","±4.3","16,884","±2,211","34.8%","±4.1","18,985","±2,596","33.4%","±4.2"
"        Service occupations","9,736","±1,552","19.4%","±2.8","8,749","±1,979","18.0%","±4.0","10,802","±1,780","19.0%","±2.9"
"        Sales and office occupations","10,803","±1,959","21.5%","±3.8","12,382","±2,527","25.5%","±5.0","13,414","±2,405","23.6%","±3.9"
"        Natural resources, construction, and maintenance occupations","4,132","±1,035","8.2%","±2.0","5,238","±1,487","10.8%","±3.0","5,328","±1,190","9.4%","±2.1"
"        Production, transportation, and material moving occupations","7,533","±1,635","15.0%","±3.1","5,279","±1,270","10.9%","±2.5","8,321","±1,659","14.6%","±2.9"
"INDUSTRY","","","","","","","","","","","",""
"    Civilian employed population 16 years and over","50,252","±2,815","50,252","(X)","48,532","±2,936","48,532","(X)","56,850","±3,082","56,850","(X)"
"        Agriculture, forestry, fishing and hunting, and mining","682","±405","1.4%","±0.8","108","±126","0.2%","±0.3","306","±295","0.5%","±0.5"
"        Construction","2,868","±869","5.7%","±1.8","4,889","±1,330","10.1%","±2.6","3,305","±958","5.8%","±1.7"
"        Manufacturing","4,812","±1,382","9.6%","±2.8","4,223","±1,258","8.7%","±2.4","4,999","±1,341","8.8%","±2.3"
"        Wholesale trade","652","±419","1.3%","±0.8","1,301","±702","2.7%","±1.5","621","±435","1.1%","±0.8"
