"Label (Grouping)","Santa Rosa city, California!!Estimate","Santa Rosa city, California!!Margin of Error","Santa Rosa city, California!!Percent","Santa Rosa city, California!!Percent Margin of Error"
"EMPLOYMENT STATUS","","","",""
"    Population 16 years and over","145,676","±2,685","145,676","(X)"
"        In labor force","93,896","±3,701","64.5%","±2.2"
"            Civilian labor force","93,714","±3,721","64.3%","±2.2"
"                Employed","86,808","±3,607","59.6%","±2.2"
"                Unemployed","6,906","±1,509","4.7%","±1.0"
"            Armed Forces","182","±213","0.1%","±0.1"
"        Not in labor force","51,780","±3,392","35.5%","±2.2"
"    Civilian labor force","93,714","±3,721","93,714","(X)"
"        Unemployment Rate","(X)","(X)","7.4%","±1.6"
"    Females 16 years and over","74,534","±2,150","74,534","(X)"
"        In labor force","44,821","±2,486","60.1%","±3.1"
"            Civilian labor force","44,821","±2,486","60.1%","±3.1"
"                Employed","41,294","±2,586","55.4%","±3.3"
"    Own children of the householder under 6 years","9,507","±1,683","9,507","(X)"
"        All parents in family in labor force","5,877","±1,359","61.8%","±11.8"
"    Own children of the householder 6 to 17 years","24,340","±2,379","24,340","(X)"
"        All parents in family in labor force","17,300","±2,584","71.1%","±7.5"
"COMMUTING TO WORK","","","",""
"    Workers 16 years and over","84,305","±3,518","84,305","(X)"
"        Car, truck, or van -- drove alone","56,822","±3,267","67.4%","±3.0"
"        Car, truck, or van -- carpooled","8,701","±2,013","10.3%","±2.3"
"        Public transportation (excluding taxicab)","249","±297","0.3%","±0.3"
"        Walked","2,435","±886","2.9%","±1.0"
"        Other means","2,738","±1,126","3.2%","±1.3"
"        Worked from home","13,360","±2,039","15.8%","±2.3"
"        Mean travel time to work (minutes)","24.2","±2.4","(X)","(X)"
"OCCUPATION","","","",""
"    Civilian employed population 16 years and over","86,808","±3,607","86,808","(X)"
"        Management, business, science, and arts occupations","34,216","±3,216","39.4%","±3.1"
"        Service occupations","17,028","±2,085","19.6%","±2.4"
"        Sales and office occupations","16,267","±2,163","18.7%","±2.2"
"        Natural resources, construction, and maintenance occupations","10,098","±1,967","11.6%","±2.2"
"        Production, transportation, and material moving occupations","9,199","±1,620","10.6%","±1.9"
"INDUSTRY","","","",""
"    Civilian employed population 16 years and over","86,808","±3,607","86,808","(X)"
"        Agriculture, forestry, fishing and hunting, and mining","1,599","±725","1.8%","±0.8"
"        Construction","10,724","±1,951","12.4%","±2.2"
"        Manufacturing","9,499","±1,870","10.9%","±2.2"
"        Wholesale trade","1,344","±678","1.5%","±0.8"
"        Retail trade","7,606","±1,778","8.8%","±1.9"
"        Transportation and warehousing, and utilities","3,146","±1,051","3.6%","±1.2"
"        Information","805","±462","0.9%","±0.5"
"        Finance and insurance, and real estate and rental and leasing","4,258","±1,199","4.9%","±1.4"
"        Professional, scientific, and management, and administrative and waste management services","9,960","±1,961","11.5%","±2.2"
"        Educational services, and health care and social assistance","20,720","±2,782","23.9%","±3.0"
"        Arts, entertainment, and recreation, and accommodation and food services","8,843","±2,023","10.2%","±2.3"
"        Other services, except public administration","4,403","±1,232","5.1%","±1.4"
"        Public administration","3,901","±1,099","4.5%","±1.3"
"CLASS OF WORKER","","","",""
"    Civilian employed population 16 years and over","86,808","±3,607","86,808","(X)"
"        Private wage and salary workers","68,386","±3,524","78.8%","±2.6"
"        Government workers","10,617","±2,007","12.2%","±2.2"
"        Self-employed in own not incorporated business workers","7,129","±1,385","8.2%","±1.5"
"        Unpaid family workers","676","±508","0.8%","±0.6"
"INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)","","","",""
"    Total households","68,686","±2,661","68,686","(X)"
"        Less than $10,000","3,737","±1,186","5.4%","±1.7"
"        $10,000 to $14,999","1,317","±406","1.9%","±0.6"
"        $15,000 to $24,999","3,351","±915","4.9%","±1.3"
"        $25,000 to $34,999","4,112","±1,195","6.0%","±1.7"
"        $35,000 to $49,999","7,309","±1,350","10.6%","±2.0"
"        $50,000 to $74,999","9,976","±1,750","14.5%","±2.4"
"        $75,000 to $99,999","8,292","±1,481","12.1%","±2.1"
"        $100,000 to $149,999","13,756","±1,979","20.0%","±2.8"
"        $150,000 to $199,999","8,605","±1,524","12.5%","±2.1"
"        $200,000 or more","8,231","±1,277","12.0%","±1.8"
"        Median household income (dollars)","86,459","±3,559","(X)","(X)"
"        Mean household income (dollars)","111,487","±6,147","(X)","(X)"
"        With earnings","53,554","±2,554","78.0%","±2.5"
"            Mean earnings (dollars)","109,244","±7,510","(X)","(X)"
"        With Social Security","20,839","±1,943","30.3%","±2.4"
"            Mean Social Security income (dollars)","21,162","±1,113","(X)","(X)"
"        With retirement income","17,781","±1,675","25.9%","±2.2"
"            Mean retirement income (dollars)","36,370","±4,175","(X)","(X)"
"        With Supplemental Security Income","3,306","±869","4.8%","±1.3"
"            Mean Supplemental Security Income (dollars)","8,517","±1,484","(X)","(X)"
"        With cash public assistance income","2,553","±813","3.7%","±1.2"
"            Mean cash public assistance income (dollars)","11,048","±3,913","(X)","(X)"
"        With Food Stamp/SNAP benefits in the past 12 months","6,573","±1,619","9.6%","±2.4"
"    Families","43,259","±2,253","43,259","(X)"
"        Less than $10,000","1,470","±672","3.4%","±1.5"
"        $10,000 to $14,999","229","±273","0.5%","±0.6"
"        $15,000 to $24,999","1,656","±719","3.8%","±1.7"
"        $25,000 to $34,999","1,191","±525","2.8%","±1.2"
"        $35,000 to $49,999","4,312","±1,111","10.0%","±2.6"
"        $50,000 to $74,999","5,160","±1,272","11.9%","±2.9"
"        $75,000 to $99,999","6,366","±1,434","14.7%","±3.2"
"        $100,000 to $149,999","9,700","±1,593","22.4%","±3.5"
"        $150,000 to $199,999","6,780","±1,230","15.7%","±2.7"
"        $200,000 or more","6,395","±1,214","14.8%","±2.7"
"        Median family income (dollars)","105,179","±7,403","(X)","(X)"
"        Mean family income (dollars)","130,636","±8,516","(X)","(X)"
"    Per capita income (dollars)","43,653","±2,710","(X)","(X)"
"    Nonfamily households","25,427","±2,681","25,427","(X)"
"        Median nonfamily income (dollars)","52,281","±5,292","(X)","(X)"
"        Mean nonfamily income (dollars)","73,266","±7,932","(X)","(X)"
"    Median earnings for workers (dollars)","43,117","±3,500","(X)","(X)"
"    Median earnings for male full-time, year-round workers (dollars)","67,571","±4,729","(X)","(X)"
"    Median earnings for female full-time, year-round workers (dollars)","58,758","±6,025","(X)","(X)"
"HEALTH INSURANCE COVERAGE","","","",""
"    Civilian noninstitutionalized population","174,954","±449","174,954","(X)"
"        With health insurance coverage","160,160","±3,175","91.5%","±1.8"
"            With private health insurance","112,225","±4,994","64.1%","±2.8"
"            With public coverage","72,078","±4,865","41.2%","±2.8"
"        No health insurance coverage","14,794","±3,106","8.5%","±1.8"
"    Civilian noninstitutionalized population under 19 years","39,379","±2,995","39,379","(X)"
"        No health insurance coverage","2,180","±1,210","5.5%","±2.9"
"    Civilian noninstitutionalized population 19 to 64 years","103,955","±2,971","103,955","(X)"
"        In labor force:","83,388","±3,638","83,388","(X)"
"            Employed:","77,059","±3,577","77,059","(X)"
"                With health insurance coverage","68,622","±3,525","89.1%","±2.6"
"                    With private health insurance","59,045","±3,941","76.6%","±3.5"
"                    With public coverage","12,064","±2,411","15.7%","±3.1"
"                No health insurance coverage","8,437","±2,070","10.9%","±2.6"
"            Unemployed:","6,329","±1,453","6,329","(X)"
"                With health insurance coverage","5,345","±1,283","84.5%","±9.5"
"                    With private health insurance","2,675","±878","42.3%","±10.0"
"                    With public coverage","2,999","±951","47.4%","±11.5"
"                No health insurance coverage","984","±664","15.5%","±9.5"
"        Not in labor force:","20,567","±2,396","20,567","(X)"
"            With health insurance coverage","17,748","±2,184","86.3%","±5.5"
"                With private health insurance","10,480","±1,750","51.0%","±6.7"
"                With public coverage","8,298","±1,616","40.3%","±5.9"
"            No health insurance coverage","2,819","±1,238","13.7%","±5.5"
"PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL","","","",""
"    All families","(X)","(X)","7.0%","±2.2"
"        With related children of the householder under 18 years","(X)","(X)","12.9%","±4.5"
"            With related children of the householder under 5 years only","(X)","(X)","9.6%","±9.1"
"        Married couple families","(X)","(X)","2.8%","±1.7"
"            With related children of the householder under 18 years","(X)","(X)","4.8%","±3.9"
"                With related children of the householder under 5 years only","(X)","(X)","0.0%","±8.3"
"        Families with female householder, no spouse present","(X)","(X)","16.9%","±7.6"
"            With related children of the householder under 18 years","(X)","(X)","23.8%","±10.5"
"                With related children of the householder under 5 years only","(X)","(X)","29.3%","±35.4"
"    All people","(X)","(X)","11.1%","±2.3"
"        Under 18 years","(X)","(X)","15.7%","±5.7"
"            Related children of the householder under 18 years","(X)","(X)","15.5%","±5.8"
"                Related children of the householder under 5 years","(X)","(X)","11.1%","±7.5"
"                Related children of the householder 5 to 17 years","(X)","(X)","16.8%","±6.8"
"        18 years and over","(X)","(X)","9.9%","±1.9"
"            18 to 64 years","(X)","(X)","9.9%","±2.0"
"            65 years and over","(X)","(X)","10.0%","±3.0"
"        People in families","(X)","(X)","8.0%","±2.9"
"        Unrelated individuals 15 years and over","(X)","(X)","21.3%","±4.0"
