"Label (Grouping)","Belvedere city, California!!Total!!Estimate","Belvedere city, California!!Total!!Margin of Error","Belvedere city, California!!Percent!!Estimate","Belvedere city, California!!Percent!!Margin of Error","Belvedere city, California!!Male!!Estimate","Belvedere city, California!!Male!!Margin of Error","Belvedere city, California!!Percent Male!!Estimate","Belvedere city, California!!Percent Male!!Margin of Error","Belvedere city, California!!Female!!Estimate","Belvedere city, California!!Female!!Margin of Error","Belvedere city, California!!Percent Female!!Estimate","Belvedere city, California!!Percent Female!!Margin of Error","Corte Madera town, California!!Total!!Estimate","Corte Madera town, California!!Total!!Margin of Error","Corte Madera town, California!!Percent!!Estimate","Corte Madera town, California!!Percent!!Margin of Error","Corte Madera town, California!!Male!!Estimate","Corte Madera town, California!!Male!!Margin of Error","Corte Madera town, California!!Percent Male!!Estimate","Corte Madera town, California!!Percent Male!!Margin of Error","Corte Madera town, California!!Female!!Estimate","Corte Madera town, California!!Female!!Margin of Error","Corte Madera town, California!!Percent Female!!Estimate","Corte Madera town, California!!Percent Female!!Margin of Error","Fairfax town, California!!Total!!Estimate","Fairfax town, California!!Total!!Margin of Error","Fairfax town, California!!Percent!!Estimate","Fairfax town, California!!Percent!!Margin of Error","Fairfax town, California!!Male!!Estimate","Fairfax town, California!!Male!!Margin of Error","Fairfax town, California!!Percent Male!!Estimate","Fairfax town, California!!Percent Male!!Margin of Error","Fairfax town, California!!Female!!Estimate","Fairfax town, California!!Female!!Margin of Error","Fairfax town, California!!Percent Female!!Estimate","Fairfax town, California!!Percent Female!!Margin of Error","Larkspur city, California!!Total!!Estimate","Larkspur city, California!!Total!!Margin of Error","Larkspur city, California!!Percent!!Estimate","Larkspur city, California!!Percent!!Margin of Error","Larkspur city, California!!Male!!Estimate","Larkspur city, California!!Male!!Margin of Error","Larkspur city, California!!Percent Male!!Estimate","Larkspur city, California!!Percent Male!!Margin of Error","Larkspur city, California!!Female!!Estimate","Larkspur city, California!!Female!!Margin of Error","Larkspur city, California!!Percent Female!!Estimate","Larkspur city, California!!Percent Female!!Margin of Error","Mill Valley city, California!!Total!!Estimate","Mill Valley city, California!!Total!!Margin of Error","Mill Valley city, California!!Percent!!Estimate","Mill Valley city, California!!Percent!!Margin of Error","Mill Valley city, California!!Male!!Estimate","Mill Valley city, California!!Male!!Margin of Error","Mill Valley city, California!!Percent Male!!Estimate","Mill Valley city, California!!Percent Male!!Margin of Error","Mill Valley city, California!!Female!!Estimate","Mill Valley city, California!!Female!!Margin of Error","Mill Valley city, California!!Percent Female!!Estimate","Mill Valley city, California!!Percent Female!!Margin of Error","Novato city, California!!Total!!Estimate","Novato city, California!!Total!!Margin of Error","Novato city, California!!Percent!!Estimate","Novato city, California!!Percent!!Margin of Error","Novato city, California!!Male!!Estimate","Novato city, California!!Male!!Margin of Error","Novato city, California!!Percent Male!!Estimate","Novato city, California!!Percent Male!!Margin of Error","Novato city, California!!Female!!Estimate","Novato city, California!!Female!!Margin of Error","Novato city, California!!Percent Female!!Estimate","Novato city, California!!Percent Female!!Margin of Error","Ross town, California!!Total!!Estimate","Ross town, California!!Total!!Margin of Error","Ross town, California!!Percent!!Estimate","Ross town, California!!Percent!!Margin of Error","Ross town, California!!Male!!Estimate","Ross town, California!!Male!!Margin of Error","Ross town, California!!Percent Male!!Estimate","Ross town, California!!Percent Male!!Margin of Error","Ross town, California!!Female!!Estimate","Ross town, California!!Female!!Margin of Error","Ross town, California!!Percent Female!!Estimate","Ross town, California!!Percent Female!!Margin of Error","San Anselmo town, California!!Total!!Estimate","San Anselmo town, California!!Total!!Margin of Error","San Anselmo town, California!!Percent!!Estimate","San Anselmo town, California!!Percent!!Margin of Error","San Anselmo town, California!!Male!!Estimate","San Anselmo town, California!!Male!!Margin of Error","San Anselmo town, California!!Percent Male!!Estimate","San Anselmo town, California!!Percent Male!!Margin of Error","San Anselmo town, California!!Female!!Estimate","San Anselmo town, California!!Female!!Margin of Error","San Anselmo town, California!!Percent Female!!Estimate","San Anselmo town, California!!Percent Female!!Margin of Error","San Rafael city, California!!Total!!Estimate","San Rafael city, California!!Total!!Margin of Error","San Rafael city, California!!Percent!!Estimate","San Rafael city, California!!Percent!!Margin of Error","San Rafael city, California!!Male!!Estimate","San Rafael city, California!!Male!!Margin of Error","San Rafael city, California!!Percent Male!!Estimate","San Rafael city, California!!Percent Male!!Margin of Error","San Rafael city, California!!Female!!Estimate","San Rafael city, California!!Female!!Margin of Error","San Rafael city, California!!Percent Female!!Estimate","San Rafael city, California!!Percent Female!!Margin of Error","Sausalito city, California!!Total!!Estimate","Sausalito city, California!!Total!!Margin of Error","Sausalito city, California!!Percent!!Estimate","Sausalito city, California!!Percent!!Margin of Error","Sausalito city, California!!Male!!Estimate","Sausalito city, California!!Male!!Margin of Error","Sausalito city, California!!Percent Male!!Estimate","Sausalito city, California!!Percent Male!!Margin of Error","Sausalito city, California!!Female!!Estimate","Sausalito city, California!!Female!!Margin of Error","Sausalito city, California!!Percent Female!!Estimate","Sausalito city, California!!Percent Female!!Margin of Error","Tiburon town, California!!Total!!Estimate","Tiburon town, California!!Total!!Margin of Error","Tiburon town, California!!Percent!!Estimate","Tiburon town, California!!Percent!!Margin of Error","Tiburon town, California!!Male!!Estimate","Tiburon town, California!!Male!!Margin of Error","Tiburon town, California!!Percent Male!!Estimate","Tiburon town, California!!Percent Male!!Margin of Error","Tiburon town, California!!Female!!Estimate","Tiburon town, California!!Female!!Margin of Error","Tiburon town, California!!Percent Female!!Estimate","Tiburon town, California!!Percent Female!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 18 to 24 years","113","±67","(X)","(X)","40","±28","(X)","(X)","73","±65","(X)","(X)","718","±299","(X)","(X)","613","±277","(X)","(X)","105","±77","(X)","(X)","570","±170","(X)","(X)","339","±142","(X)","(X)","231","±100","(X)","(X)","590","±262","(X)","(X)","285","±156","(X)","(X)","305","±159","(X)","(X)","706","±276","(X)","(X)","298","±164","(X)","(X)","408","±224","(X)","(X)","3,574","±508","(X)","(X)","1,782","±313","(X)","(X)","1,792","±350","(X)","(X)","148","±81","(X)","(X)","5","±8","(X)","(X)","143","±80","(X)","(X)","760","±228","(X)","(X)","252","±121","(X)","(X)","508","±193","(X)","(X)","4,951","±588","(X)","(X)","2,411","±411","(X)","(X)","2,540","±401","(X)","(X)","272","±324","(X)","(X)","134","±148","(X)","(X)","138","±181","(X)","(X)","530","±279","(X)","(X)","390","±252","(X)","(X)","140","±151","(X)","(X)"
"        Less than high school graduate","29","±24","25.7%","±21.7","21","±23","52.5%","±36.2","8","±12","11.0%","±15.9","25","±38","3.5%","±5.4","25","±38","4.1%","±6.5","0","±21","0.0%","±30.6","127","±98","22.3%","±17.6","86","±85","25.4%","±23.6","41","±46","17.7%","±17.9","41","±44","6.9%","±7.1","13","±20","4.6%","±7.7","28","±37","9.2%","±11.5","179","±141","25.4%","±16.3","77","±65","25.8%","±16.1","102","±124","25.0%","±26.1","359","±156","10.0%","±4.3","223","±114","12.5%","±6.2","136","±103","7.6%","±5.7","21","±32","14.2%","±20.8","0","±13","0.0%","±100.0","21","±32","14.7%","±21.5","143","±101","18.8%","±12.6","76","±71","30.2%","±22.8","67","±71","13.2%","±14.0","627","±187","12.7%","±3.8","419","±173","17.4%","±7.1","208","±114","8.2%","±4.5","10","±16","3.7%","±10.9","10","±16","7.5%","±19.4","0","±19","0.0%","±24.8","56","±62","10.6%","±10.6","56","±62","14.4%","±15.8","0","±19","0.0%","±24.5"
"        High school graduate (includes equivalency)","20","±25","17.7%","±17.2","0","±13","0.0%","±52.0","20","±25","27.4%","±26.0","129","±100","18.0%","±15.5","95","±85","15.5%","±15.1","34","±48","32.4%","±37.2","230","±107","40.4%","±14.2","98","±88","28.9%","±23.1","132","±93","57.1%","±30.5","127","±80","21.5%","±17.3","87","±63","30.5%","±21.7","40","±52","13.1%","±19.9","151","±103","21.4%","±15.1","48","±54","16.1%","±17.3","103","±89","25.2%","±23.9","1,195","±374","33.4%","±8.6","603","±234","33.8%","±10.8","592","±225","33.0%","±11.3","17","±29","11.5%","±18.6","0","±13","0.0%","±100.0","17","±29","11.9%","±19.3","163","±109","21.4%","±13.5","72","±54","28.6%","±21.2","91","±89","17.9%","±16.0","1,352","±440","27.3%","±7.4","690","±255","28.6%","±8.5","662","±264","26.1%","±9.4","0","±19","0.0%","±13.6","0","±19","0.0%","±25.4","0","±19","0.0%","±24.8","104","±88","19.6%","±17.5","72","±71","18.5%","±21.4","32","±50","22.9%","±22.1"
"        Some college or associate's degree","23","±17","20.4%","±19.0","19","±17","47.5%","±36.2","4","±6","5.5%","±9.9","352","±177","49.0%","±14.4","323","±170","52.7%","±14.3","29","±40","27.6%","±35.2","148","±113","26.0%","±16.9","138","±112","40.7%","±28.4","10","±12","4.3%","±5.5","332","±252","56.3%","±26.2","171","±132","60.0%","±23.9","161","±137","52.8%","±33.1","288","±197","40.8%","±18.7","161","±112","54.0%","±20.7","127","±166","31.1%","±31.9","1,403","±294","39.3%","±6.8","706","±201","39.6%","±9.3","697","±248","38.9%","±10.6","42","±37","28.4%","±23.8","5","±8","100.0%","±100.0","37","±36","25.9%","±24.2","212","±122","27.9%","±13.4","22","±28","8.7%","±11.3","190","±109","37.4%","±17.8","2,246","±446","45.4%","±8.0","1,031","±261","42.8%","±9.0","1,215","±343","47.8%","±11.1","103","±148","37.9%","±18.1","103","±148","76.9%","±42.7","0","±19","0.0%","±24.8","288","±231","54.3%","±28.5","224","±223","57.4%","±34.6","64","±78","45.7%","±50.3"
"        Bachelor's degree or higher","41","±46","36.3%","±27.0","0","±13","0.0%","±52.0","41","±46","56.2%","±27.0","212","±156","29.5%","±13.6","170","±140","27.7%","±14.8","42","±46","40.0%","±35.1","65","±64","11.4%","±11.2","17","±26","5.0%","±7.9","48","±56","20.8%","±24.3","90","±82","15.3%","±14.3","14","±23","4.9%","±8.6","76","±84","24.9%","±24.5","88","±75","12.5%","±11.3","12","±21","4.0%","±8.2","76","±71","18.6%","±20.2","617","±227","17.3%","±5.9","250","±129","14.0%","±7.0","367","±156","20.5%","±8.2","68","±59","45.9%","±25.7","0","±13","0.0%","±100.0","68","±59","47.6%","±26.3","242","±133","31.8%","±13.8","82","±73","32.5%","±23.4","160","±112","31.5%","±17.0","726","±293","14.7%","±5.6","271","±127","11.2%","±4.6","455","±240","17.9%","±9.0","159","±183","58.5%","±13.9","21","±27","15.7%","±32.1","138","±181","100.0%","±24.8","82","±106","15.5%","±18.5","38","±65","9.7%","±20.0","44","±85","31.4%","±36.1"
"    Population 25 years and over","1,643","±199","(X)","(X)","759","±93","(X)","(X)","884","±141","(X)","(X)","6,735","±328","(X)","(X)","3,094","±260","(X)","(X)","3,641","±269","(X)","(X)","5,900","±294","(X)","(X)","2,764","±285","(X)","(X)","3,136","±212","(X)","(X)","10,010","±361","(X)","(X)","4,570","±360","(X)","(X)","5,440","±398","(X)","(X)","10,520","±425","(X)","(X)","4,964","±377","(X)","(X)","5,556","±300","(X)","(X)","39,449","±739","(X)","(X)","19,879","±690","(X)","(X)","19,570","±543","(X)","(X)","1,625","±176","(X)","(X)","728","±107","(X)","(X)","897","±106","(X)","(X)","8,945","±330","(X)","(X)","4,356","±246","(X)","(X)","4,589","±240","(X)","(X)","43,941","±898","(X)","(X)","20,988","±669","(X)","(X)","22,953","±626","(X)","(X)","6,434","±342","(X)","(X)","2,719","±266","(X)","(X)","3,715","±282","(X)","(X)","6,720","±386","(X)","(X)","3,288","±302","(X)","(X)","3,432","±238","(X)","(X)"
"        Less than 9th grade","0","±13","0.0%","±2.4","0","±13","0.0%","±5.1","0","±13","0.0%","±4.4","19","±31","0.3%","±0.5","0","±21","0.0%","±1.3","19","±31","0.5%","±0.8","26","±28","0.4%","±0.5","14","±23","0.5%","±0.8","12","±17","0.4%","±0.6","263","±147","2.6%","±1.5","165","±81","3.6%","±1.8","98","±94","1.8%","±1.7","50","±47","0.5%","±0.5","3","±6","0.1%","±0.1","47","±46","0.8%","±0.8","2,147","±539","5.4%","±1.3","1,254","±371","6.3%","±1.8","893","±286","4.6%","±1.4","14","±31","0.9%","±1.9","0","±13","0.0%","±5.3","14","±31","1.6%","±3.5","51","±77","0.6%","±0.9","0","±21","0.0%","±0.9","51","±77","1.1%","±1.7","4,109","±627","9.4%","±1.4","2,251","±438","10.7%","±2.0","1,858","±306","8.1%","±1.4","164","±176","2.5%","±2.7","15","±23","0.6%","±0.8","149","±173","4.0%","±4.6","23","±30","0.3%","±0.4","0","±19","0.0%","±1.2","23","±30","0.7%","±0.9"
"        9th to 12th grade, no diploma","6","±10","0.4%","±0.6","0","±13","0.0%","±5.1","6","±10","0.7%","±1.1","0","±21","0.0%","±0.6","0","±21","0.0%","±1.3","0","±21","0.0%","±1.1","125","±97","2.1%","±1.6","112","±95","4.1%","±3.3","13","±20","0.4%","±0.6","101","±92","1.0%","±0.9","68","±62","1.5%","±1.3","33","±42","0.6%","±0.8","77","±82","0.7%","±0.8","55","±56","1.1%","±1.1","22","±34","0.4%","±0.6","1,201","±293","3.0%","±0.7","576","±237","2.9%","±1.2","625","±195","3.2%","±1.0","0","±13","0.0%","±2.4","0","±13","0.0%","±5.3","0","±13","0.0%","±4.4","137","±81","1.5%","±0.9","52","±46","1.2%","±1.1","85","±61","1.9%","±1.3","1,864","±381","4.2%","±0.9","909","±238","4.3%","±1.2","955","±269","4.2%","±1.2","2","±5","0.0%","±0.1","2","±5","0.1%","±0.2","0","±19","0.0%","±1.1","50","±65","0.7%","±1.0","6","±13","0.2%","±0.4","44","±64","1.3%","±1.9"
"        High school graduate (includes equivalency)","103","±53","6.3%","±3.2","31","±28","4.1%","±3.7","72","±39","8.1%","±4.1","613","±240","9.1%","±3.4","173","±95","5.6%","±3.1","440","±192","12.1%","±5.0","452","±146","7.7%","±2.5","289","±137","10.5%","±4.7","163","±111","5.2%","±3.5","783","±221","7.8%","±2.2","250","±142","5.5%","±3.1","533","±141","9.8%","±2.5","791","±291","7.5%","±2.7","514","±288","10.4%","±5.4","277","±122","5.0%","±2.2","5,911","±639","15.0%","±1.6","2,955","±378","14.9%","±1.9","2,956","±475","15.1%","±2.3","50","±47","3.1%","±2.9","38","±43","5.2%","±5.6","12","±19","1.3%","±2.1","652","±211","7.3%","±2.3","325","±140","7.5%","±3.2","327","±140","7.1%","±3.0","4,862","±615","11.1%","±1.3","2,681","±497","12.8%","±2.2","2,181","±351","9.5%","±1.5","235","±117","3.7%","±1.8","93","±84","3.4%","±3.1","142","±73","3.8%","±2.0","328","±151","4.9%","±2.2","149","±109","4.5%","±3.2","179","±101","5.2%","±3.0"
