"Label (Grouping)","Napa city, California!!Total!!Estimate","Napa city, California!!Total!!Margin of Error","Napa city, California!!Percent!!Estimate","Napa city, California!!Percent!!Margin of Error","Napa city, California!!Male!!Estimate","Napa city, California!!Male!!Margin of Error","Napa city, California!!Percent Male!!Estimate","Napa city, California!!Percent Male!!Margin of Error","Napa city, California!!Female!!Estimate","Napa city, California!!Female!!Margin of Error","Napa city, California!!Percent Female!!Estimate","Napa city, California!!Percent Female!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    Population 18 to 24 years","6,609","±868","(X)","(X)","3,747","±525","(X)","(X)","2,862","±659","(X)","(X)"
"        Less than high school graduate","722","±480","10.9%","±7.3","573","±432","15.3%","±11.8","149","±195","5.2%","±6.8"
"        High school graduate (includes equivalency)","1,652","±675","25.0%","±10.2","1,240","±654","33.1%","±15.7","412","±251","14.4%","±9.9"
"        Some college or associate's degree","3,758","±963","56.9%","±11.8","1,791","±602","47.8%","±15.6","1,967","±796","68.7%","±18.5"
"        Bachelor's degree or higher","477","±412","7.2%","±6.1","143","±208","3.8%","±5.5","334","±314","11.7%","±11.4"
"    Population 25 years and over","55,826","±1,301","(X)","(X)","27,706","±955","(X)","(X)","28,120","±988","(X)","(X)"
"        Less than 9th grade","6,908","±1,499","12.4%","±2.7","3,760","±1,071","13.6%","±3.9","3,148","±784","11.2%","±2.8"
"        9th to 12th grade, no diploma","2,593","±835","4.6%","±1.5","1,273","±585","4.6%","±2.1","1,320","±486","4.7%","±1.7"
"        High school graduate (includes equivalency)","10,262","±1,599","18.4%","±2.8","5,320","±1,162","19.2%","±4.0","4,942","±990","17.6%","±3.4"
"        Some college, no degree","10,814","±1,587","19.4%","±2.8","5,710","±1,189","20.6%","±4.2","5,104","±909","18.2%","±3.2"
"        Associate's degree","5,436","±984","9.7%","±1.8","2,544","±642","9.2%","±2.3","2,892","±764","10.3%","±2.7"
"        Bachelor's degree","12,315","±1,477","22.1%","±2.5","5,580","±1,070","20.1%","±3.8","6,735","±1,033","24.0%","±3.5"
"        Graduate or professional degree","7,498","±1,088","13.4%","±2.0","3,519","±657","12.7%","±2.4","3,979","±823","14.2%","±2.9"
"        High school graduate or higher","46,325","±2,002","83.0%","±2.6","22,673","±1,385","81.8%","±3.7","23,652","±1,138","84.1%","±2.7"
"        Bachelor's degree or higher","19,813","±1,721","35.5%","±2.9","9,099","±1,200","32.8%","±4.2","10,714","±1,096","38.1%","±3.5"
"    Population 25 to 34 years","9,956","±1,120","(X)","(X)","5,081","±709","(X)","(X)","4,875","±731","(X)","(X)"
"        High school graduate or higher","8,984","±1,078","90.2%","±4.9","4,327","±709","85.2%","±9.5","4,657","±714","95.5%","±4.3"
"        Bachelor's degree or higher","3,631","±905","36.5%","±8.1","1,555","±471","30.6%","±8.9","2,076","±593","42.6%","±11.3"
"    Population 35 to 44 years","11,276","±1,138","(X)","(X)","6,144","±669","(X)","(X)","5,132","±698","(X)","(X)"
"        High school graduate or higher","8,351","±1,281","74.1%","±7.7","4,704","±882","76.6%","±9.9","3,647","±739","71.1%","±10.2"
"        Bachelor's degree or higher","3,890","±795","34.5%","±6.8","1,491","±450","24.3%","±7.5","2,399","±646","46.7%","±11.1"
"    Population 45 to 64 years","20,192","±1,352","(X)","(X)","10,124","±951","(X)","(X)","10,068","±794","(X)","(X)"
"        High school graduate or higher","16,381","±1,200","81.1%","±3.9","8,091","±896","79.9%","±6.1","8,290","±750","82.3%","±4.3"
"        Bachelor's degree or higher","6,802","±1,050","33.7%","±4.8","3,528","±771","34.8%","±7.3","3,274","±655","32.5%","±5.9"
"    Population 65 years and over","14,402","±1,353","(X)","(X)","6,357","±748","(X)","(X)","8,045","±849","(X)","(X)"
"        High school graduate or higher","12,609","±1,267","87.6%","±4.0","5,551","±689","87.3%","±5.9","7,058","±791","87.7%","±4.7"
"        Bachelor's degree or higher","5,490","±898","38.1%","±5.5","2,525","±559","39.7%","±9.1","2,965","±616","36.9%","±6.7"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    White alone","36,308","±2,275","(X)","(X)","17,838","±1,160","(X)","(X)","18,470","±1,436","(X)","(X)"
"        High school graduate or higher","34,226","±1,992","94.3%","±2.2","16,755","±1,082","93.9%","±2.7","17,471","±1,259","94.6%","±2.4"
"        Bachelor's degree or higher","16,220","±1,709","44.7%","±4.4","7,651","±1,096","42.9%","±5.8","8,569","±1,023","46.4%","±5.0"
"    White alone, not Hispanic or Latino","32,424","±1,953","(X)","(X)","16,056","±1,094","(X)","(X)","16,368","±1,186","(X)","(X)"
"        High school graduate or higher","31,750","±1,945","97.9%","±0.9","15,664","±1,106","97.6%","±1.5","16,086","±1,162","98.3%","±1.2"
"        Bachelor's degree or higher","15,690","±1,677","48.4%","±4.4","7,336","±1,058","45.7%","±5.8","8,354","±1,007","51.0%","±5.2"
"    Black alone","N","N","(X)","(X)","N","N","(X)","(X)","N","N","(X)","(X)"
"        High school graduate or higher","N","N","N","N","N","N","N","N","N","N","N","N"
"        Bachelor's degree or higher","N","N","N","N","N","N","N","N","N","N","N","N"
"    American Indian or Alaska Native alone","N","N","(X)","(X)","N","N","(X)","(X)","N","N","(X)","(X)"
"        High school graduate or higher","N","N","N","N","N","N","N","N","N","N","N","N"
"        Bachelor's degree or higher","N","N","N","N","N","N","N","N","N","N","N","N"
"    Asian alone","2,174","±692","(X)","(X)","987","±451","(X)","(X)","1,187","±385","(X)","(X)"
"        High school graduate or higher","1,951","±647","89.7%","±6.5","987","±451","100.0%","±18.0","964","±352","81.2%","±11.9"
"        Bachelor's degree or higher","1,009","±455","46.4%","±17.3","408","±298","41.3%","±23.1","601","±311","50.6%","±20.4"
"    Native Hawaiian and Other Pacific Islander alone","N","N","(X)","(X)","N","N","(X)","(X)","N","N","(X)","(X)"
"        High school graduate or higher","N","N","N","N","N","N","N","N","N","N","N","N"
"        Bachelor's degree or higher","N","N","N","N","N","N","N","N","N","N","N","N"
"    Some other race alone","6,484","±1,663","(X)","(X)","3,087","±900","(X)","(X)","3,397","±883","(X)","(X)"
