"Label (Grouping)","Belvedere city, California!!Households!!Estimate","Belvedere city, California!!Households!!Margin of Error","Belvedere city, California!!Families!!Estimate","Belvedere city, California!!Families!!Margin of Error","Belvedere city, California!!Married-couple families!!Estimate","Belvedere city, California!!Married-couple families!!Margin of Error","Belvedere city, California!!Nonfamily households!!Estimate","Belvedere city, California!!Nonfamily households!!Margin of Error","Corte Madera town, California!!Households!!Estimate","Corte Madera town, California!!Households!!Margin of Error","Corte Madera town, California!!Families!!Estimate","Corte Madera town, California!!Families!!Margin of Error","Corte Madera town, California!!Married-couple families!!Estimate","Corte Madera town, California!!Married-couple families!!Margin of Error","Corte Madera town, California!!Nonfamily households!!Estimate","Corte Madera town, California!!Nonfamily households!!Margin of Error","Fairfax town, California!!Households!!Estimate","Fairfax town, California!!Households!!Margin of Error","Fairfax town, California!!Families!!Estimate","Fairfax town, California!!Families!!Margin of Error","Fairfax town, California!!Married-couple families!!Estimate","Fairfax town, California!!Married-couple families!!Margin of Error","Fairfax town, California!!Nonfamily households!!Estimate","Fairfax town, California!!Nonfamily households!!Margin of Error","Larkspur city, California!!Households!!Estimate","Larkspur city, California!!Households!!Margin of Error","Larkspur city, California!!Families!!Estimate","Larkspur city, California!!Families!!Margin of Error","Larkspur city, California!!Married-couple families!!Estimate","Larkspur city, California!!Married-couple families!!Margin of Error","Larkspur city, California!!Nonfamily households!!Estimate","Larkspur city, California!!Nonfamily households!!Margin of Error","Mill Valley city, California!!Households!!Estimate","Mill Valley city, California!!Households!!Margin of Error","Mill Valley city, California!!Families!!Estimate","Mill Valley city, California!!Families!!Margin of Error","Mill Valley city, California!!Married-couple families!!Estimate","Mill Valley city, California!!Married-couple families!!Margin of Error","Mill Valley city, California!!Nonfamily households!!Estimate","Mill Valley city, California!!Nonfamily households!!Margin of Error","Novato city, California!!Households!!Estimate","Novato city, California!!Households!!Margin of Error","Novato city, California!!Families!!Estimate","Novato city, California!!Families!!Margin of Error","Novato city, California!!Married-couple families!!Estimate","Novato city, California!!Married-couple families!!Margin of Error","Novato city, California!!Nonfamily households!!Estimate","Novato city, California!!Nonfamily households!!Margin of Error","Ross town, California!!Households!!Estimate","Ross town, California!!Households!!Margin of Error","Ross town, California!!Families!!Estimate","Ross town, California!!Families!!Margin of Error","Ross town, California!!Married-couple families!!Estimate","Ross town, California!!Married-couple families!!Margin of Error","Ross town, California!!Nonfamily households!!Estimate","Ross town, California!!Nonfamily households!!Margin of Error","San Anselmo town, California!!Households!!Estimate","San Anselmo town, California!!Households!!Margin of Error","San Anselmo town, California!!Families!!Estimate","San Anselmo town, California!!Families!!Margin of Error","San Anselmo town, California!!Married-couple families!!Estimate","San Anselmo town, California!!Married-couple families!!Margin of Error","San Anselmo town, California!!Nonfamily households!!Estimate","San Anselmo town, California!!Nonfamily households!!Margin of Error","San Rafael city, California!!Households!!Estimate","San Rafael city, California!!Households!!Margin of Error","San Rafael city, California!!Families!!Estimate","San Rafael city, California!!Families!!Margin of Error","San Rafael city, California!!Married-couple families!!Estimate","San Rafael city, California!!Married-couple families!!Margin of Error","San Rafael city, California!!Nonfamily households!!Estimate","San Rafael city, California!!Nonfamily households!!Margin of Error","Sausalito city, California!!Households!!Estimate","Sausalito city, California!!Households!!Margin of Error","Sausalito city, California!!Families!!Estimate","Sausalito city, California!!Families!!Margin of Error","Sausalito city, California!!Married-couple families!!Estimate","Sausalito city, California!!Married-couple families!!Margin of Error","Sausalito city, California!!Nonfamily households!!Estimate","Sausalito city, California!!Nonfamily households!!Margin of Error","Tiburon town, California!!Households!!Estimate","Tiburon town, California!!Households!!Margin of Error","Tiburon town, California!!Families!!Estimate","Tiburon town, California!!Families!!Margin of Error","Tiburon town, California!!Married-couple families!!Estimate","Tiburon town, California!!Married-couple families!!Margin of Error","Tiburon town, California!!Nonfamily households!!Estimate","Tiburon town, California!!Nonfamily households!!Margin of Error"
"Total","900","±89","643","±90","524","±79","257","±59","3,930","±215","2,778","±192","2,210","±204","1,152","±303","3,410","±184","1,931","±215","1,477","±258","1,479","±259","6,213","±331","3,384","±227","2,680","±230","2,829","±454","5,622","±309","3,814","±237","3,229","±269","1,808","±309","20,682","±566","13,965","±507","11,375","±629","6,717","±624","852","±87","661","±102","532","±100","191","±70","4,995","±292","3,348","±196","2,805","±213","1,647","±270","23,816","±710","14,054","±549","10,882","±629","9,762","±795","4,117","±262","1,641","±179","1,401","±199","2,476","±340","3,515","±255","2,622","±188","2,315","±200","893","±216"
"    Less than $10,000","4.7%","±4.3","4.4%","±5.6","1.0%","±1.3","5.4%","±4.9","1.8%","±1.6","0.7%","±1.2","0.9%","±1.5","4.4%","±4.4","6.5%","±4.9","3.5%","±4.6","0.3%","±0.5","10.7%","±9.5","4.2%","±2.2","2.0%","±2.0","1.0%","±1.4","6.9%","±4.1","3.1%","±1.8","1.7%","±1.2","0.7%","±0.8","6.1%","±4.9","2.9%","±0.9","1.9%","±0.9","1.2%","±0.8","5.2%","±1.8","0.0%","±4.6","0.0%","±5.9","0.0%","±7.2","0.0%","±18.8","2.5%","±1.8","1.0%","±1.2","0.5%","±0.9","6.6%","±5.2","3.0%","±1.2","2.0%","±0.9","0.6%","±0.6","5.9%","±2.6","2.7%","±2.0","0.7%","±1.1","0.9%","±1.3","4.0%","±3.3","1.6%","±1.3","0.5%","±0.7","0.5%","±0.8","5.0%","±4.5"
"    $10,000 to $14,999","1.1%","±1.2","0.0%","±6.0","0.0%","±7.3","3.9%","±4.1","0.9%","±1.0","1.3%","±1.4","0.0%","±1.8","0.0%","±3.4","1.4%","±1.0","0.8%","±1.3","0.0%","±2.7","2.2%","±2.6","1.4%","±1.0","0.4%","±0.7","0.5%","±0.8","2.7%","±2.0","2.1%","±1.3","1.4%","±1.4","1.6%","±1.6","3.5%","±2.8","2.5%","±0.8","1.5%","±1.0","0.9%","±0.7","5.7%","±2.1","4.2%","±5.0","0.0%","±5.9","0.0%","±7.2","18.8%","±20.5","1.5%","±1.0","0.0%","±1.2","0.0%","±1.4","4.6%","±3.1","3.3%","±0.9","1.1%","±0.8","0.1%","±0.1","6.6%","±2.0","2.9%","±2.4","3.4%","±5.2","3.9%","±6.1","2.5%","±2.2","0.0%","±1.1","0.0%","±1.5","0.0%","±1.7","0.0%","±4.4"
"    $15,000 to $24,999","4.8%","±3.6","3.1%","±4.2","0.8%","±1.5","8.9%","±8.1","2.4%","±1.7","2.3%","±2.1","1.9%","±2.3","2.7%","±3.3","6.2%","±3.0","2.9%","±3.5","2.9%","±4.3","10.5%","±5.0","4.2%","±1.8","2.0%","±1.6","0.9%","±1.1","6.9%","±3.7","1.6%","±1.0","0.0%","±1.0","0.0%","±1.2","5.0%","±3.1","4.7%","±1.3","3.5%","±1.4","1.2%","±0.8","9.6%","±3.0","0.5%","±0.7","0.0%","±5.9","0.0%","±7.2","2.1%","±3.4","3.7%","±1.9","0.4%","±0.6","0.0%","±1.4","11.1%","±5.8","4.9%","±1.1","3.1%","±1.1","1.7%","±0.7","8.2%","±2.1","1.9%","±1.5","0.0%","±2.4","0.0%","±2.8","3.2%","±2.5","2.2%","±1.6","0.0%","±1.5","0.0%","±1.7","8.6%","±6.3"
"    $25,000 to $34,999","2.0%","±1.3","1.6%","±1.6","1.9%","±1.9","3.1%","±3.6","2.6%","±1.7","1.7%","±1.6","1.3%","±1.5","6.4%","±5.5","5.7%","±2.4","1.9%","±1.9","1.4%","±1.8","10.6%","±5.2","5.8%","±2.6","6.4%","±3.6","2.9%","±1.4","6.4%","±4.2","1.9%","±1.4","1.5%","±1.4","1.3%","±1.4","3.8%","±3.3","4.7%","±1.4","3.1%","±1.6","2.9%","±1.9","8.1%","±2.8","0.0%","±4.6","0.0%","±5.9","0.0%","±7.2","0.0%","±18.8","2.4%","±1.4","1.0%","±1.1","1.2%","±1.4","4.4%","±3.4","4.2%","±0.9","2.5%","±1.0","2.2%","±1.3","7.3%","±1.8","5.6%","±2.7","4.4%","±4.9","5.1%","±5.6","6.4%","±3.3","2.9%","±2.4","4.2%","±3.2","1.0%","±1.4","6.5%","±7.2"
"    $35,000 to $49,999","2.7%","±2.5","1.9%","±2.6","0.0%","±7.3","4.7%","±5.8","2.3%","±1.8","0.0%","±1.4","0.0%","±1.8","7.8%","±6.4","8.9%","±3.3","5.1%","±2.8","5.4%","±3.7","13.7%","±7.0","8.4%","±2.5","3.7%","±2.0","2.4%","±1.6","13.3%","±4.8","4.3%","±2.1","2.9%","±2.2","3.2%","±2.5","7.4%","±3.7","7.5%","±1.4","6.0%","±1.7","3.9%","±1.3","11.8%","±3.0","4.3%","±3.7","1.4%","±1.7","1.7%","±2.2","14.7%","±14.5","4.7%","±2.1","2.1%","±1.7","1.7%","±1.6","10.1%","±4.9","8.4%","±1.7","6.4%","±1.9","4.1%","±1.4","11.4%","±2.8","3.3%","±1.9","1.4%","±1.6","0.9%","±1.5","5.0%","±3.2","4.0%","±2.5","3.1%","±2.8","3.5%","±3.2","6.5%","±5.1"
"    $50,000 to $74,999","4.8%","±2.8","2.8%","±3.2","2.3%","±3.4","9.7%","±5.6","10.1%","±4.6","5.7%","±3.1","3.3%","±3.0","22.3%","±13.3","10.6%","±4.4","7.0%","±4.7","3.9%","±3.3","18.9%","±8.8","9.7%","±3.2","3.5%","±2.4","2.7%","±2.1","17.0%","±6.1","7.7%","±3.5","4.9%","±3.3","2.2%","±1.8","13.5%","±7.7","13.0%","±2.3","11.1%","±2.7","10.1%","±2.9","14.3%","±3.4","5.4%","±4.9","10.7%","±6.1","6.2%","±6.9","0.0%","±18.8","7.0%","±2.0","4.2%","±2.2","3.6%","±2.4","13.8%","±4.8","12.8%","±2.1","10.9%","±2.1","9.7%","±2.2","16.9%","±4.2","7.3%","±3.4","3.0%","±2.4","2.0%","±1.9","9.8%","±5.2","2.6%","±1.5","1.4%","±1.1","0.6%","±1.1","6.3%","±5.0"
"    $75,000 to $99,999","6.8%","±3.0","5.9%","±3.7","3.6%","±2.6","8.9%","±9.3","8.2%","±3.9","7.0%","±4.8","7.6%","±5.8","9.5%","±5.9","7.0%","±3.8","9.8%","±6.4","5.6%","±5.6","6.0%","±3.8","7.5%","±2.8","8.8%","±4.6","7.4%","±5.2","6.2%","±2.9","7.0%","±2.2","4.6%","±2.2","4.1%","±2.2","12.0%","±5.5","11.6%","±1.9","10.8%","±2.3","9.7%","±2.5","14.0%","±3.7","5.4%","±4.6","4.1%","±4.9","3.8%","±5.8","9.9%","±11.5","10.2%","±2.8","7.5%","±3.2","5.9%","±3.1","15.4%","±6.0","11.0%","±1.7","8.8%","±2.0","7.9%","±2.0","13.1%","±2.9","9.5%","±3.2","5.2%","±3.7","3.9%","±3.2","12.4%","±4.7","7.5%","±3.3","5.1%","±2.7","5.8%","±3.1","11.3%","±9.0"
"    $100,000 to $149,999","9.4%","±4.2","7.5%","±4.1","9.2%","±4.9","14.4%","±10.2","9.4%","±3.9","10.5%","±4.2","10.0%","±4.7","8.7%","±6.7","21.8%","±5.4","27.2%","±7.8","30.7%","±9.0","12.1%","±6.1","14.3%","±3.6","11.9%","±4.8","12.2%","±5.8","16.8%","±5.3","15.5%","±4.0","15.3%","±5.0","13.5%","±5.0","18.4%","±6.9","16.9%","±2.1","16.7%","±2.2","18.0%","±2.6","16.3%","±3.7","11.9%","±4.9","7.9%","±4.8","8.6%","±5.7","25.7%","±17.4","15.5%","±4.3","15.4%","±5.4","15.7%","±6.0","13.8%","±6.7","17.7%","±1.9","18.5%","±2.3","19.3%","±2.8","15.6%","±2.8","19.5%","±5.1","22.1%","±8.7","19.3%","±8.0","18.0%","±6.1","20.9%","±5.9","18.8%","±6.8","16.2%","±6.9","25.5%","±10.9"
