"Label (Grouping)","San Francisco city, California!!Households!!Estimate","San Francisco city, California!!Households!!Margin of Error","San Francisco city, California!!Families!!Estimate","San Francisco city, California!!Families!!Margin of Error","San Francisco city, California!!Married-couple families!!Estimate","San Francisco city, California!!Married-couple families!!Margin of Error","San Francisco city, California!!Nonfamily households!!Estimate","San Francisco city, California!!Nonfamily households!!Margin of Error"
"Total","350,796","±5,380","170,287","±5,222","131,149","±5,502","180,509","±5,280"
"    Less than $10,000","5.8%","±0.8","2.9%","±0.7","1.3%","±0.5","8.8%","±1.4"
"    $10,000 to $14,999","4.4%","±0.7","1.7%","±0.6","0.8%","±0.5","7.1%","±1.2"
"    $15,000 to $24,999","5.6%","±0.8","4.7%","±0.9","3.7%","±1.0","6.9%","±1.3"
"    $25,000 to $34,999","4.1%","±0.6","3.3%","±0.8","2.6%","±0.8","5.1%","±1.0"
"    $35,000 to $49,999","6.0%","±0.7","4.8%","±1.1","3.6%","±1.1","7.1%","±1.0"
"    $50,000 to $74,999","9.3%","±0.9","9.3%","±1.3","7.6%","±1.4","9.6%","±1.3"
"    $75,000 to $99,999","7.6%","±0.7","7.9%","±1.1","6.8%","±1.2","7.4%","±1.0"
"    $100,000 to $149,999","14.8%","±1.1","15.4%","±1.4","14.9%","±1.7","14.5%","±1.6"
"    $150,000 to $199,999","11.0%","±1.1","10.6%","±1.2","11.3%","±1.4","10.9%","±1.5"
"    $200,000 or more","31.4%","±1.4","39.5%","±1.9","47.5%","±2.4","22.7%","±1.8"
"Median income (dollars)","121,826","±5,224","150,429","±6,983","184,546","±11,389","91,445","±6,208"
"Mean income (dollars)","181,909","±5,975","224,909","±9,512","261,506","±12,194","136,860","±7,109"
"PERCENT ALLOCATED","","","","","","","",""
"    Household income in the past 12 months","34.7%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Family income in the past 12 months","(X)","(X)","40.0%","(X)","(X)","(X)","(X)","(X)"
"    Nonfamily income in the past 12 months","(X)","(X)","(X)","(X)","(X)","(X)","28.8%","(X)"
