"Label (Grouping)","Milpitas city, California!!Households!!Estimate","Milpitas city, California!!Households!!Margin of Error","Milpitas city, California!!Families!!Estimate","Milpitas city, California!!Families!!Margin of Error","Milpitas city, California!!Married-couple families!!Estimate","Milpitas city, California!!Married-couple families!!Margin of Error","Milpitas city, California!!Nonfamily households!!Estimate","Milpitas city, California!!Nonfamily households!!Margin of Error","Mountain View city, California!!Households!!Estimate","Mountain View city, California!!Households!!Margin of Error","Mountain View city, California!!Families!!Estimate","Mountain View city, California!!Families!!Margin of Error","Mountain View city, California!!Married-couple families!!Estimate","Mountain View city, California!!Married-couple families!!Margin of Error","Mountain View city, California!!Nonfamily households!!Estimate","Mountain View city, California!!Nonfamily households!!Margin of Error","Palo Alto city, California!!Households!!Estimate","Palo Alto city, California!!Households!!Margin of Error","Palo Alto city, California!!Families!!Estimate","Palo Alto city, California!!Families!!Margin of Error","Palo Alto city, California!!Married-couple families!!Estimate","Palo Alto city, California!!Married-couple families!!Margin of Error","Palo Alto city, California!!Nonfamily households!!Estimate","Palo Alto city, California!!Nonfamily households!!Margin of Error","San Jose city, California!!Households!!Estimate","San Jose city, California!!Households!!Margin of Error","San Jose city, California!!Families!!Estimate","San Jose city, California!!Families!!Margin of Error","San Jose city, California!!Married-couple families!!Estimate","San Jose city, California!!Married-couple families!!Margin of Error","San Jose city, California!!Nonfamily households!!Estimate","San Jose city, California!!Nonfamily households!!Margin of Error","Santa Clara city, California!!Households!!Estimate","Santa Clara city, California!!Households!!Margin of Error","Santa Clara city, California!!Families!!Estimate","Santa Clara city, California!!Families!!Margin of Error","Santa Clara city, California!!Married-couple families!!Estimate","Santa Clara city, California!!Married-couple families!!Margin of Error","Santa Clara city, California!!Nonfamily households!!Estimate","Santa Clara city, California!!Nonfamily households!!Margin of Error","Sunnyvale city, California!!Households!!Estimate","Sunnyvale city, California!!Households!!Margin of Error","Sunnyvale city, California!!Families!!Estimate","Sunnyvale city, California!!Families!!Margin of Error","Sunnyvale city, California!!Married-couple families!!Estimate","Sunnyvale city, California!!Married-couple families!!Margin of Error","Sunnyvale city, California!!Nonfamily households!!Estimate","Sunnyvale city, California!!Nonfamily households!!Margin of Error"
"Total","23,632","±968","18,457","±881","N","N","5,175","±1,038","34,637","±1,610","18,736","±1,183","N","N","15,901","±1,823","24,501","±1,572","17,382","±1,042","N","N","7,119","±1,325","322,881","±4,593","229,875","±4,101","169,225","±4,355","93,006","±4,614","49,011","±2,041","30,605","±1,426","N","N","18,406","±2,348","59,567","±2,373","38,750","±1,663","N","N","20,817","±2,459"
"    Less than $10,000","5.6%","±2.4","1.6%","±1.0","N","N","19.9%","±9.8","1.9%","±1.3","1.6%","±2.0","N","N","3.8%","±2.7","2.4%","±1.7","0.7%","±0.6","N","N","6.6%","±5.5","3.0%","±0.5","2.0%","±0.5","1.0%","±0.4","6.6%","±1.4","7.5%","±2.4","4.6%","±2.6","N","N","12.4%","±4.3","3.4%","±1.1","2.2%","±1.4","N","N","5.8%","±2.5"
"    $10,000 to $14,999","1.6%","±1.1","1.5%","±1.3","N","N","1.8%","±1.6","1.4%","±1.0","1.1%","±1.3","N","N","1.7%","±1.5","1.9%","±0.9","1.1%","±1.0","N","N","4.8%","±2.2","2.1%","±0.4","0.7%","±0.2","0.6%","±0.3","5.7%","±1.2","1.2%","±0.6","0.9%","±0.9","N","N","2.0%","±1.5","2.0%","±1.0","1.0%","±0.6","N","N","3.8%","±2.5"
"    $15,000 to $24,999","3.1%","±1.7","2.6%","±2.2","N","N","5.2%","±4.3","1.6%","±1.0","1.2%","±1.1","N","N","2.0%","±1.6","3.7%","±2.1","2.7%","±2.5","N","N","5.2%","±5.0","4.3%","±0.6","3.7%","±0.5","3.0%","±0.6","6.7%","±1.4","3.6%","±1.4","2.0%","±1.5","N","N","6.2%","±3.0","1.9%","±1.0","1.4%","±1.0","N","N","2.7%","±1.8"
"    $25,000 to $34,999","2.5%","±1.4","2.1%","±1.6","N","N","4.0%","±2.7","5.2%","±2.3","3.3%","±2.7","N","N","6.0%","±2.9","1.8%","±1.0","1.9%","±2.1","N","N","4.3%","±2.8","3.9%","±0.5","3.1%","±0.6","1.7%","±0.5","6.9%","±1.4","1.9%","±0.8","1.5%","±0.9","N","N","2.9%","±2.0","2.0%","±1.0","1.7%","±1.3","N","N","2.7%","±1.5"
"    $35,000 to $49,999","3.4%","±1.6","3.8%","±2.5","N","N","6.8%","±4.6","5.9%","±2.3","5.2%","±3.0","N","N","6.7%","±3.5","4.7%","±2.3","4.6%","±3.0","N","N","4.9%","±3.2","6.3%","±0.6","5.7%","±0.7","3.7%","±0.6","9.9%","±1.4","3.0%","±1.2","1.6%","±1.2","N","N","4.9%","±2.9","3.9%","±1.4","3.9%","±2.1","N","N","5.8%","±2.3"
"    $50,000 to $74,999","5.1%","±2.7","5.5%","±3.1","N","N","5.9%","±4.2","8.8%","±2.8","7.3%","±3.0","N","N","10.5%","±4.6","8.2%","±2.7","6.3%","±2.9","N","N","12.8%","±5.8","10.5%","±1.0","9.9%","±1.2","8.2%","±1.1","12.7%","±1.7","8.3%","±2.2","8.0%","±3.0","N","N","9.0%","±3.5","10.0%","±2.1","9.8%","±2.4","N","N","10.6%","±3.8"
"    $75,000 to $99,999","6.2%","±2.0","6.0%","±2.0","N","N","8.7%","±6.2","4.7%","±1.8","5.5%","±2.0","N","N","3.9%","±2.8","6.3%","±2.2","4.9%","±2.6","N","N","9.8%","±4.1","10.5%","±0.9","10.2%","±1.0","8.6%","±1.0","11.2%","±1.7","8.9%","±2.2","10.2%","±3.5","N","N","7.8%","±3.6","8.7%","±2.2","8.5%","±2.6","N","N","8.1%","±3.1"
"    $100,000 to $149,999","15.7%","±3.9","16.6%","±4.5","N","N","12.3%","±7.7","18.1%","±3.7","16.4%","±5.0","N","N","20.2%","±5.3","13.3%","±3.8","10.8%","±4.9","N","N","17.0%","±6.3","16.9%","±1.3","17.2%","±1.4","16.6%","±1.4","15.1%","±2.3","14.1%","±2.8","10.9%","±2.9","N","N","18.8%","±6.1","16.3%","±2.5","14.8%","±2.9","N","N","19.3%","±5.0"
"    $150,000 to $199,999","16.4%","±3.9","17.1%","±4.8","N","N","12.1%","±6.7","10.1%","±2.4","10.0%","±2.9","N","N","11.4%","±4.4","8.1%","±2.4","9.8%","±3.5","N","N","6.2%","±3.8","12.4%","±0.9","13.1%","±1.0","14.7%","±1.2","9.0%","±1.5","14.7%","±2.8","16.3%","±3.3","N","N","11.9%","±4.7","14.7%","±2.9","14.8%","±3.5","N","N","14.7%","±4.6"
