"Label (Grouping)","Fairfield city, California!!Households!!Estimate","Fairfield city, California!!Households!!Margin of Error","Fairfield city, California!!Families!!Estimate","Fairfield city, California!!Families!!Margin of Error","Fairfield city, California!!Married-couple families!!Estimate","Fairfield city, California!!Married-couple families!!Margin of Error","Fairfield city, California!!Nonfamily households!!Estimate","Fairfield city, California!!Nonfamily households!!Margin of Error","Vacaville city, California!!Households!!Estimate","Vacaville city, California!!Households!!Margin of Error","Vacaville city, California!!Families!!Estimate","Vacaville city, California!!Families!!Margin of Error","Vacaville city, California!!Married-couple families!!Estimate","Vacaville city, California!!Married-couple families!!Margin of Error","Vacaville city, California!!Nonfamily households!!Estimate","Vacaville city, California!!Nonfamily households!!Margin of Error","Vallejo city, California!!Households!!Estimate","Vallejo city, California!!Households!!Margin of Error","Vallejo city, California!!Families!!Estimate","Vallejo city, California!!Families!!Margin of Error","Vallejo city, California!!Married-couple families!!Estimate","Vallejo city, California!!Married-couple families!!Margin of Error","Vallejo city, California!!Nonfamily households!!Estimate","Vallejo city, California!!Nonfamily households!!Margin of Error"
"Total","38,097","±1,931","27,941","±1,600","N","N","10,156","±1,848","33,777","±1,798","25,036","±1,303","N","N","8,741","±1,711","43,906","±1,958","28,984","±1,745","N","N","14,922","±2,001"
"    Less than $10,000","5.5%","±2.2","3.2%","±1.8","N","N","13.0%","±6.8","2.5%","±1.3","2.1%","±1.6","N","N","5.0%","±3.6","5.6%","±2.1","4.2%","±3.5","N","N","10.7%","±4.9"
"    $10,000 to $14,999","1.8%","±1.0","0.8%","±0.8","N","N","4.4%","±2.9","3.1%","±1.6","1.6%","±1.6","N","N","7.2%","±4.9","4.7%","±1.9","2.8%","±2.2","N","N","10.4%","±4.3"
"    $15,000 to $24,999","5.2%","±2.0","3.6%","±1.8","N","N","11.5%","±5.4","3.6%","±1.7","2.2%","±1.5","N","N","8.1%","±4.7","7.4%","±2.4","3.7%","±1.7","N","N","14.9%","±5.2"
"    $25,000 to $34,999","5.4%","±1.9","5.3%","±1.9","N","N","6.5%","±4.0","4.2%","±2.1","3.6%","±2.5","N","N","6.7%","±4.3","4.4%","±1.8","3.4%","±2.1","N","N","6.7%","±3.1"
"    $35,000 to $49,999","8.0%","±2.4","10.7%","±2.9","N","N","6.3%","±4.0","8.7%","±3.0","9.1%","±3.8","N","N","9.3%","±3.6","12.1%","±2.7","11.1%","±3.2","N","N","17.5%","±5.0"
"    $50,000 to $74,999","16.9%","±3.0","16.8%","±3.5","N","N","22.2%","±7.0","13.5%","±3.1","12.3%","±3.5","N","N","19.0%","±6.0","14.0%","±3.4","12.8%","±3.5","N","N","16.1%","±5.6"
"    $75,000 to $99,999","10.7%","±2.9","10.6%","±3.2","N","N","9.5%","±4.7","15.7%","±3.6","17.5%","±4.7","N","N","12.3%","±5.3","15.6%","±3.0","15.4%","±3.4","N","N","10.4%","±4.8"
"    $100,000 to $149,999","25.4%","±3.7","23.6%","±3.8","N","N","20.9%","±7.7","23.4%","±3.9","23.4%","±4.9","N","N","19.6%","±8.9","17.1%","±2.5","22.5%","±3.9","N","N","7.6%","±3.3"
"    $150,000 to $199,999","9.0%","±2.5","10.8%","±3.0","N","N","4.6%","±3.0","13.3%","±3.3","12.8%","±3.4","N","N","10.5%","±7.5","11.4%","±2.7","14.9%","±3.5","N","N","2.0%","±1.3"
"    $200,000 or more","12.0%","±2.4","14.7%","±3.3","N","N","1.1%","±1.7","12.0%","±2.7","15.4%","±3.7","N","N","2.2%","±2.1","7.7%","±2.2","9.2%","±2.5","N","N","3.6%","±3.5"
"Median income (dollars)","90,346","±10,065","97,087","±10,280","118,151","±11,847","58,365","±9,564","97,777","±8,900","101,699","±7,628","113,345","±13,429","67,514","±8,505","77,711","±4,494","94,794","±7,165","115,818","±5,688","40,753","±4,622"
"Mean income (dollars)","111,091","±7,730","121,827","±10,268","N","N","65,866","±10,108","112,874","±7,038","120,161","±8,832","N","N","82,179","±12,676","100,760","±12,571","111,580","±10,282","N","N","61,013","±15,901"
"PERCENT ALLOCATED","","","","","","","","","","","","","","","","","","","","","","","",""
"    Household income in the past 12 months","42.5%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","35.7%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","45.4%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Family income in the past 12 months","(X)","(X)","42.3%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","39.4%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","47.7%","(X)","(X)","(X)","(X)","(X)"
"    Nonfamily income in the past 12 months","(X)","(X)","(X)","(X)","(X)","(X)","37.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","21.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","37.1%","(X)"
