"Label (Grouping)","Corte Madera town; California!!Total population!!Estimate","Corte Madera town; California!!Total population!!Margin of Error","Corte Madera town; California!!Total population!!Percent","Corte Madera town; California!!Total population!!Percent Margin of Error","Fairfax town; California!!Total population!!Estimate","Fairfax town; California!!Total population!!Margin of Error","Fairfax town; California!!Total population!!Percent","Fairfax town; California!!Total population!!Percent Margin of Error","Larkspur city; California!!Total population!!Estimate","Larkspur city; California!!Total population!!Margin of Error","Larkspur city; California!!Total population!!Percent","Larkspur city; California!!Total population!!Percent Margin of Error","Mill Valley city; California!!Total population!!Estimate","Mill Valley city; California!!Total population!!Margin of Error","Mill Valley city; California!!Total population!!Percent","Mill Valley city; California!!Total population!!Percent Margin of Error","Novato city; California!!Total population!!Estimate","Novato city; California!!Total population!!Margin of Error","Novato city; California!!Total population!!Percent","Novato city; California!!Total population!!Percent Margin of Error","San Anselmo town; California!!Total population!!Estimate","San Anselmo town; California!!Total population!!Margin of Error","San Anselmo town; California!!Total population!!Percent","San Anselmo town; California!!Total population!!Percent Margin of Error","San Rafael city; California!!Total population!!Estimate","San Rafael city; California!!Total population!!Margin of Error","San Rafael city; California!!Total population!!Percent","San Rafael city; California!!Total population!!Percent Margin of Error","Sausalito city; California!!Total population!!Estimate","Sausalito city; California!!Total population!!Margin of Error","Sausalito city; California!!Total population!!Percent","Sausalito city; California!!Total population!!Percent Margin of Error","Tiburon town; California!!Total population!!Estimate","Tiburon town; California!!Total population!!Margin of Error","Tiburon town; California!!Total population!!Percent","Tiburon town; California!!Total population!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total households","3,930","±215","3,930","(X)","3,410","±184","3,410","(X)","6,213","±331","6,213","(X)","5,622","±309","5,622","(X)","20,682","±566","20,682","(X)","4,995","±292","4,995","(X)","23,816","±710","23,816","(X)","4,117","±262","4,117","(X)","3,515","±255","3,515","(X)"
"        Married-couple household","2,210","±204","56.2%","±6.4","1,477","±258","43.3%","±7.4","2,680","±230","43.1%","±4.6","3,229","±269","57.4%","±5.2","11,375","±629","55.0%","±3.0","2,805","±213","56.2%","±4.7","10,882","±629","45.7%","±2.7","1,401","±199","34.0%","±5.0","2,315","±200","65.9%","±5.1"
"            With children of the householder under 18 years","1,181","±191","30.1%","±5.2","461","±115","13.5%","±3.6","1,075","±204","17.3%","±3.5","1,327","±178","23.6%","±3.9","4,153","±449","20.1%","±2.2","1,331","±173","26.6%","±4.0","4,276","±368","18.0%","±1.6","211","±78","5.1%","±1.9","916","±156","26.1%","±4.8"
"        Cohabiting couple household","252","±135","6.4%","±3.3","389","±161","11.4%","±4.8","265","±163","4.3%","±2.6","399","±149","7.1%","±2.6","1,193","±272","5.8%","±1.3","455","±155","9.1%","±3.1","1,505","±322","6.3%","±1.4","412","±158","10.0%","±3.9","168","±97","4.8%","±2.7"
"            With children of the householder under 18 years","68","±54","1.7%","±1.4","123","±92","3.6%","±2.7","65","±63","1.0%","±1.0","30","±37","0.5%","±0.7","341","±178","1.6%","±0.9","117","±101","2.3%","±2.0","372","±138","1.6%","±0.6","24","±25","0.6%","±0.6","57","±59","1.6%","±1.7"
"        Male householder, no spouse/partner present","396","±189","10.1%","±4.5","551","±188","16.2%","±5.3","1,067","±357","17.2%","±5.4","574","±198","10.2%","±3.4","3,128","±408","15.1%","±1.9","664","±175","13.3%","±3.2","3,758","±436","15.8%","±1.7","621","±185","15.1%","±4.3","245","±115","7.0%","±3.0"
"            With children of the householder under 18 years","33","±48","0.8%","±1.2","16","±28","0.5%","±0.8","99","±92","1.6%","±1.5","52","±52","0.9%","±0.9","252","±140","1.2%","±0.7","59","±39","1.2%","±0.8","325","±162","1.4%","±0.7","73","±60","1.8%","±1.4","9","±16","0.3%","±0.4"
"            Householder living alone","285","±182","7.3%","±4.4","347","±127","10.2%","±3.5","859","±355","13.8%","±5.4","432","±147","7.7%","±2.6","1,945","±352","9.4%","±1.6","482","±151","9.6%","±2.8","2,573","±394","10.8%","±1.5","456","±162","11.1%","±3.8","213","±111","6.1%","±2.9"
"                65 years and over","133","±105","3.4%","±2.6","161","±80","4.7%","±2.3","327","±117","5.3%","±1.9","269","±129","4.8%","±2.3","797","±231","3.9%","±1.1","287","±119","5.7%","±2.3","901","±221","3.8%","±0.9","220","±104","5.3%","±2.5","167","±98","4.8%","±2.6"
"        Female householder, no spouse/partner present","1,072","±236","27.3%","±5.5","993","±252","29.1%","±7.1","2,201","±352","35.4%","±5.0","1,420","±292","25.3%","±4.5","4,986","±508","24.1%","±2.2","1,071","±242","21.4%","±4.2","7,671","±713","32.2%","±2.6","1,683","±292","40.9%","±5.8","787","±185","22.4%","±4.9"
"            With children of the householder under 18 years","263","±178","6.7%","±4.5","111","±84","3.3%","±2.4","217","±118","3.5%","±1.9","258","±110","4.6%","±1.9","569","±194","2.8%","±0.9","147","±85","2.9%","±1.7","780","±226","3.3%","±0.9","30","±37","0.7%","±0.9","121","±87","3.4%","±2.5"
"            Householder living alone","613","±178","15.6%","±4.2","646","±185","18.9%","±5.1","1,650","±331","26.6%","±4.6","873","±226","15.5%","±3.6","3,349","±416","16.2%","±1.8","753","±207","15.1%","±3.7","5,207","±646","21.9%","±2.4","1,463","±305","35.5%","±5.8","521","±152","14.8%","±3.8"
"                65 years and over","353","±137","9.0%","±3.4","379","±121","11.1%","±3.4","966","±201","15.5%","±3.0","551","±178","9.8%","±2.9","2,167","±308","10.5%","±1.4","425","±143","8.5%","±2.7","2,972","±397","12.5%","±1.6","618","±203","15.0%","±4.6","282","±119","8.0%","±3.3"
"        Households with one or more people under 18 years","1,545","±245","39.3%","±6.7","749","±169","22.0%","±5.3","1,472","±200","23.7%","±3.6","1,737","±172","30.9%","±3.9","5,595","±415","27.1%","±2.2","1,786","±156","35.8%","±3.9","6,389","±399","26.8%","±1.8","345","±89","8.4%","±2.3","1,135","±176","32.3%","±5.7"
"        Households with one or more people 65 years and over","1,237","±190","31.5%","±4.7","1,270","±200","37.2%","±5.6","2,392","±279","38.5%","±4.4","2,016","±244","35.9%","±3.7","8,519","±539","41.2%","±2.2","1,643","±235","32.9%","±3.8","8,818","±577","37.0%","±2.2","1,698","±267","41.2%","±6.0","1,422","±209","40.5%","±5.0"
"        Average household size","2.58","±0.14","(X)","(X)","2.22","±0.12","(X)","(X)","2.07","±0.11","(X)","(X)","2.52","±0.14","(X)","(X)","2.54","±0.07","(X)","(X)","2.55","±0.14","(X)","(X)","2.48","±0.07","(X)","(X)","1.76","±0.11","(X)","(X)","2.59","±0.19","(X)","(X)"
"        Average family size","3.10","±0.15","(X)","(X)","2.70","±0.17","(X)","(X)","2.75","±0.12","(X)","(X)","2.97","±0.16","(X)","(X)","3.05","±0.08","(X)","(X)","3.06","±0.16","(X)","(X)","3.13","±0.09","(X)","(X)","2.43","±0.18","(X)","(X)","2.98","±0.21","(X)","(X)"
"RELATIONSHIP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population in households","10,145","±23","10,145","(X)","7,572","±31","7,572","(X)","12,855","±44","12,855","(X)","14,176","±56","14,176","(X)","52,586","±326","52,586","(X)","12,723","±52","12,723","(X)","59,114","±422","59,114","(X)","7,238","±20","7,238","(X)","9,117","±27","9,117","(X)"
"        Householder","3,930","±215","38.7%","±2.1","3,410","±184","45.0%","±2.4","6,213","±331","48.3%","±2.6","5,622","±309","39.7%","±2.2","20,682","±566","39.3%","±1.1","4,995","±292","39.3%","±2.2","23,816","±710","40.3%","±1.2","4,117","±262","56.9%","±3.6","3,515","±255","38.6%","±2.8"
"        Spouse","2,196","±208","21.6%","±2.1","1,438","±252","19.0%","±3.3","2,551","±213","19.8%","±1.7","3,225","±272","22.7%","±1.9","11,568","±615","22.0%","±1.1","2,748","±222","21.6%","±1.7","10,826","±638","18.3%","±1.1","1,402","±196","19.4%","±2.7","2,352","±220","25.8%","±2.4"
"        Unmarried partner","216","±101","2.1%","±1.0","355","±157","4.7%","±2.1","311","±189","2.4%","±1.5","466","±173","3.3%","±1.2","1,241","±320","2.4%","±0.6","414","±139","3.3%","±1.1","1,426","±302","2.4%","±0.5","481","±206","6.6%","±2.9","162","±92","1.8%","±1.0"
"        Child","3,470","±305","34.2%","±3.0","1,712","±283","22.6%","±3.7","2,879","±326","22.4%","±2.5","4,055","±381","28.6%","±2.7","14,517","±762","27.6%","±1.4","3,845","±349","30.2%","±2.8","14,894","±703","25.2%","±1.2","858","±342","11.9%","±4.7","2,562","±379","28.1%","±4.2"
"        Other relatives","163","±129","1.6%","±1.3","141","±104","1.9%","±1.4","495","±211","3.9%","±1.6","246","±142","1.7%","±1.0","2,556","±664","4.9%","±1.3","290","±157","2.3%","±1.2","4,181","±864","7.1%","±1.5","89","±75","1.2%","±1.0","271","±221","3.0%","±2.4"
"        Other nonrelatives","170","±147","1.7%","±1.5","516","±286","6.8%","±3.8","406","±183","3.2%","±1.4","562","±223","4.0%","±1.6","2,022","±533","3.8%","±1.0","431","±182","3.4%","±1.4","3,971","±586","6.7%","±1.0","291","±114","4.0%","±1.6","255","±208","2.8%","±2.3"
"MARITAL STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Males 15 years and over","3,816","±353","3,816","(X)","3,208","±258","3,208","(X)","4,981","±360","4,981","(X)","5,791","±414","5,791","(X)","22,871","±692","22,871","(X)","4,896","±314","4,896","(X)","24,512","±671","24,512","(X)","2,862","±224","2,862","(X)","3,820","±252","3,820","(X)"
"        Never married","1,114","±338","29.2%","±7.1","1,067","±275","33.3%","±7.6","1,033","±282","20.7%","±5.2","1,744","±382","30.1%","±5.2","7,550","±759","33.0%","±2.7","1,165","±264","23.8%","±4.5","8,377","±704","34.2%","±2.5","838","±228","29.3%","±7.5","988","±309","25.9%","±7.4"
"        Now married, except separated","2,370","±226","62.1%","±7.0","1,526","±269","47.6%","±8.5","2,957","±232","59.4%","±6.1","3,494","±296","60.3%","±5.4","12,794","±690","55.9%","±3.4","3,024","±239","61.8%","±5.3","12,266","±643","50.0%","±2.5","1,588","±259","55.5%","±8.0","2,472","±236","64.7%","±6.5"
"        Separated","0","±21","0.0%","±1.0","0","±19","0.0%","±1.2","93","±75","1.9%","±1.5","15","±20","0.3%","±0.3","376","±259","1.6%","±1.1","103","±77","2.1%","±1.5","534","±237","2.2%","±1.0","32","±52","1.1%","±1.8","9","±16","0.2%","±0.4"
"        Widowed","108","±82","2.8%","±2.1","114","±94","3.6%","±2.8","134","±94","2.7%","±1.9","102","±64","1.8%","±1.1","533","±179","2.3%","±0.8","105","±58","2.1%","±1.2","567","±149","2.3%","±0.6","92","±76","3.2%","±2.6","105","±85","2.7%","±2.2"
"        Divorced","224","±146","5.9%","±3.8","501","±216","15.6%","±6.6","764","±311","15.3%","±5.7","436","±147","7.5%","±2.5","1,618","±302","7.1%","±1.3","499","±158","10.2%","±3.1","2,768","±444","11.3%","±1.8","312","±112","10.9%","±3.8","246","±134","6.4%","±3.5"
"    Females 15 years and over","3,931","±287","3,931","(X)","3,523","±221","3,523","(X)","5,930","±410","5,930","(X)","6,300","±355","6,300","(X)","22,341","±587","22,341","(X)","5,405","±323","5,405","(X)","26,495","±693","26,495","(X)","3,885","±221","3,885","(X)","3,885","±304","3,885","(X)"
"        Never married","805","±206","20.5%","±4.6","1,242","±261","35.3%","±6.6","1,547","±345","26.1%","±4.8","1,508","±310","23.9%","±4.2","5,815","±566","26.0%","±2.3","1,610","±324","29.8%","±4.9","8,085","±743","30.5%","±2.5","1,269","±266","32.7%","±6.4","809","±238","20.8%","±5.2"
