"Label (Grouping)","Napa city, California!!Estimate","Napa city, California!!Margin of Error","Napa city, California!!Percent","Napa city, California!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","",""
"    Total households","30,418","±1,079","30,418","(X)"
"        Married-couple household","15,303","±1,163","50.3%","±4.3"
"            With children of the householder under 18 years","5,696","±938","18.7%","±3.3"
"        Cohabiting couple household","2,139","±744","7.0%","±2.4"
"            With children of the householder under 18 years","755","±500","2.5%","±1.6"
"        Male householder, no spouse/partner present","4,570","±887","15.0%","±2.8"
"            With children of the householder under 18 years","1,196","±660","3.9%","±2.1"
"            Householder living alone","2,208","±624","7.3%","±2.0"
"                65 years and over","789","±324","2.6%","±1.1"
"        Female householder, no spouse/partner present","8,406","±1,182","27.6%","±3.4"
"            With children of the householder under 18 years","1,076","±585","3.5%","±1.9"
"            Householder living alone","5,947","±973","19.6%","±2.8"
"                65 years and over","2,988","±629","9.8%","±1.9"
"        Households with one or more people under 18 years","9,162","±1,111","30.1%","±3.9"
"        Households with one or more people 65 years and over","10,349","±1,058","34.0%","±3.2"
"        Average household size","2.57","±0.09","(X)","(X)"
"        Average family size","3.15","±0.12","(X)","(X)"
"RELATIONSHIP","","","",""
"    Population in households","78,121","±346","78,121","(X)"
"        Householder","30,418","±1,079","38.9%","±1.4"
"        Spouse","15,476","±1,144","19.8%","±1.5"
"        Unmarried partner","2,261","±741","2.9%","±0.9"
"        Child","22,262","±1,639","28.5%","±2.1"
"        Other relatives","5,527","±1,588","7.1%","±2.0"
"        Other nonrelatives","2,177","±776","2.8%","±1.0"
"MARITAL STATUS","","","",""
"    Males 15 years and over","33,193","±999","33,193","(X)"
"        Never married","11,671","±1,084","35.2%","±3.0"
"        Now married, except separated","17,617","±1,230","53.1%","±3.7"
"        Separated","748","±558","2.3%","±1.7"
"        Widowed","781","±368","2.4%","±1.1"
"        Divorced","2,376","±656","7.2%","±2.0"
"    Females 15 years and over","32,580","±1,025","32,580","(X)"
"        Never married","8,984","±1,415","27.6%","±4.1"
"        Now married, except separated","15,442","±1,352","47.4%","±4.2"
"        Separated","643","±521","2.0%","±1.6"
"        Widowed","3,073","±697","9.4%","±2.1"
"        Divorced","4,438","±946","13.6%","±2.9"
"FERTILITY","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","N","N","N","N"
"        Unmarried women (widowed, divorced, and never married)","N","N","N","N"
"            Per 1,000 unmarried women","N","N","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","N","N","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","N","N","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","N","N","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","N","N","(X)","(X)"
"GRANDPARENTS","","","",""
"    Number of grandparents living with own grandchildren under 18 years","N","N","N","N"
"        Grandparents responsible for grandchildren","N","N","N","N"
"        Years responsible for grandchildren","","","",""
"            Less than 1 year","N","N","N","N"
"            1 or 2 years","N","N","N","N"
"            3 or 4 years","N","N","N","N"
"            5 or more years","N","N","N","N"
"    Number of grandparents responsible for own grandchildren under 18 years","N","N","N","N"
"        Who are female","N","N","N","N"
"        Who are married","N","N","N","N"
"SCHOOL ENROLLMENT","","","",""
"    Population 3 years and over enrolled in school","17,399","±1,516","17,399","(X)"
"        Nursery school, preschool","723","±440","4.2%","±2.5"
"        Kindergarten","603","±376","3.5%","±2.1"
