"Label (Grouping)","Milpitas city, California!!Estimate","Milpitas city, California!!Margin of Error","Milpitas city, California!!Percent","Milpitas city, California!!Percent Margin of Error","Mountain View city, California!!Estimate","Mountain View city, California!!Margin of Error","Mountain View city, California!!Percent","Mountain View city, California!!Percent Margin of Error","Palo Alto city, California!!Estimate","Palo Alto city, California!!Margin of Error","Palo Alto city, California!!Percent","Palo Alto city, California!!Percent Margin of Error","San Jose city, California!!Estimate","San Jose city, California!!Margin of Error","San Jose city, California!!Percent","San Jose city, California!!Percent Margin of Error","Santa Clara city, California!!Estimate","Santa Clara city, California!!Margin of Error","Santa Clara city, California!!Percent","Santa Clara city, California!!Percent Margin of Error","Sunnyvale city, California!!Estimate","Sunnyvale city, California!!Margin of Error","Sunnyvale city, California!!Percent","Sunnyvale city, California!!Percent Margin of Error"
"HOUSEHOLDS BY TYPE","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total households","23,632","±968","23,632","(X)","34,637","±1,610","34,637","(X)","24,501","±1,572","24,501","(X)","322,881","±4,593","322,881","(X)","49,011","±2,041","49,011","(X)","59,567","±2,373","59,567","(X)"
"        Married-couple household","15,294","±1,205","64.7%","±4.7","15,204","±1,400","43.9%","±4.2","14,909","±1,171","60.9%","±4.8","169,225","±4,355","52.4%","±1.4","24,688","±1,796","50.4%","±4.0","31,773","±1,917","53.3%","±3.6"
"            With children of the householder under 18 years","8,350","±1,118","35.3%","±4.8","7,652","±1,282","22.1%","±4.0","6,941","±938","28.3%","±4.9","77,124","±4,073","23.9%","±1.4","10,894","±1,450","22.2%","±3.3","14,287","±1,514","24.0%","±3.1"
"        Cohabiting couple household","1,157","±631","4.9%","±2.7","2,578","±883","7.4%","±2.6","831","±384","3.4%","±1.6","23,409","±2,471","7.3%","±0.8","3,002","±993","6.1%","±2.0","3,722","±909","6.2%","±1.5"
"            With children of the householder under 18 years","398","±414","1.7%","±1.8","940","±728","2.7%","±2.1","102","±118","0.4%","±0.5","8,035","±1,597","2.5%","±0.5","383","±433","0.8%","±0.9","271","±314","0.5%","±0.5"
"        Male householder, no spouse/partner present","3,715","±1,051","15.7%","±4.3","9,789","±1,409","28.3%","±3.5","3,577","±958","14.6%","±3.5","59,275","±4,411","18.4%","±1.3","9,750","±1,722","19.9%","±3.2","12,471","±1,914","20.9%","±3.0"
"            With children of the householder under 18 years","355","±425","1.5%","±1.8","134","±117","0.4%","±0.3","563","±431","2.3%","±1.7","3,145","±1,015","1.0%","±0.3","470","±382","1.0%","±0.8","471","±376","0.8%","±0.6"
"            Householder living alone","1,474","±652","6.2%","±2.7","7,445","±1,442","21.5%","±3.7","2,285","±734","9.3%","±2.7","35,860","±3,544","11.1%","±1.0","6,044","±1,483","12.3%","±2.8","8,155","±1,616","13.7%","±2.5"
"                65 years and over","518","±353","2.2%","±1.5","1,334","±587","3.9%","±1.7","918","±419","3.7%","±1.7","9,002","±1,624","2.8%","±0.5","1,420","±621","2.9%","±1.2","1,312","±482","2.2%","±0.8"
"        Female householder, no spouse/partner present","3,466","±784","14.7%","±3.2","7,066","±1,342","20.4%","±3.5","5,184","±1,075","21.2%","±3.8","70,972","±3,719","22.0%","±1.1","11,571","±1,857","23.6%","±3.4","11,601","±1,993","19.5%","±2.9"
"            With children of the householder under 18 years","249","±250","1.1%","±1.1","962","±705","2.8%","±2.0","605","±402","2.5%","±1.7","11,309","±1,631","3.5%","±0.5","1,166","±673","2.4%","±1.4","1,177","±533","2.0%","±0.9"
"            Householder living alone","1,650","±692","7.0%","±2.8","4,942","±1,145","14.3%","±3.1","3,376","±878","13.8%","±3.1","31,662","±2,660","9.8%","±0.8","6,837","±1,497","13.9%","±2.8","6,815","±1,541","11.4%","±2.3"
"                65 years and over","849","±503","3.6%","±2.1","2,173","±699","6.3%","±1.9","2,034","±604","8.3%","±2.3","14,968","±1,857","4.6%","±0.6","2,519","±862","5.1%","±1.7","2,078","±689","3.5%","±1.1"
"        Households with one or more people under 18 years","10,249","±1,152","43.4%","±5.1","9,735","±1,124","28.1%","±3.8","8,211","±922","33.5%","±5.1","111,923","±3,998","34.7%","±1.4","13,905","±1,392","28.4%","±3.5","17,286","±1,597","29.0%","±3.4"
"        Households with one or more people 65 years and over","7,351","±1,009","31.1%","±4.2","7,416","±1,226","21.4%","±3.3","8,029","±1,294","32.8%","±4.5","94,135","±3,616","29.2%","±1.0","10,156","±1,419","20.7%","±2.6","13,724","±1,862","23.0%","±2.8"
"        Average household size","3.27","±0.14","(X)","(X)","2.35","±0.11","(X)","(X)","2.69","±0.17","(X)","(X)","3.01","±0.04","(X)","(X)","2.52","±0.10","(X)","(X)","2.54","±0.10","(X)","(X)"
"        Average family size","3.61","±0.15","(X)","(X)","3.09","±0.15","(X)","(X)","3.20","±0.18","(X)","(X)","3.50","±0.06","(X)","(X)","3.13","±0.10","(X)","(X)","3.09","±0.12","(X)","(X)"
"RELATIONSHIP","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population in households","77,268","±921","77,268","(X)","81,319","±184","81,319","(X)","65,961","±316","65,961","(X)","970,886","±1,569","970,886","(X)","123,616","±1,207","123,616","(X)","151,211","±609","151,211","(X)"
"        Householder","23,632","±968","30.6%","±1.3","34,637","±1,610","42.6%","±2.0","24,501","±1,572","37.1%","±2.4","322,881","±4,593","33.3%","±0.5","49,011","±2,041","39.6%","±1.6","59,567","±2,373","39.4%","±1.5"
"        Spouse","14,965","±1,167","19.4%","±1.5","15,042","±1,411","18.5%","±1.7","14,793","±1,162","22.4%","±1.8","169,318","±4,254","17.4%","±0.4","24,589","±1,780","19.9%","±1.4","31,650","±1,954","20.9%","±1.3"
"        Unmarried partner","1,079","±590","1.4%","±0.8","2,585","±859","3.2%","±1.1","851","±405","1.3%","±0.6","23,540","±2,511","2.4%","±0.3","2,989","±993","2.4%","±0.8","3,966","±982","2.6%","±0.6"
"        Child","23,701","±1,757","30.7%","±2.2","22,121","±2,264","27.2%","±2.8","22,312","±2,267","33.8%","±3.4","288,771","±6,738","29.7%","±0.7","31,500","±2,590","25.5%","±2.1","39,079","±2,956","25.8%","±2.0"
"        Other relatives","9,532","±1,834","12.3%","±2.4","1,971","±854","2.4%","±1.1","1,125","±520","1.7%","±0.8","116,109","±6,932","12.0%","±0.7","9,070","±2,447","7.3%","±2.0","10,197","±2,442","6.7%","±1.6"
"        Other nonrelatives","4,359","±1,387","5.6%","±1.8","4,963","±2,166","6.1%","±2.7","2,379","±969","3.6%","±1.5","50,267","±4,601","5.2%","±0.5","6,457","±1,792","5.2%","±1.4","6,752","±1,932","4.5%","±1.3"
"MARITAL STATUS","","","","","","","","","","","","","","","","","","","","","","","",""
"    Males 15 years and over","34,538","±1,886","34,538","(X)","36,654","±2,014","36,654","(X)","25,827","±1,690","25,827","(X)","415,613","±4,771","415,613","(X)","53,126","±2,364","53,126","(X)","66,465","±2,994","66,465","(X)"
"        Never married","11,469","±1,988","33.2%","±4.6","16,981","±2,382","46.3%","±5.0","8,461","±1,688","32.8%","±5.2","173,956","±6,046","41.9%","±1.2","21,818","±2,832","41.1%","±4.3","24,886","±2,926","37.4%","±3.3"
"        Now married, except separated","19,435","±1,134","56.3%","±4.5","17,254","±1,650","47.1%","±5.1","15,585","±1,135","60.3%","±4.7","203,688","±5,073","49.0%","±1.3","28,096","±2,072","52.9%","±4.5","36,186","±1,874","54.4%","±3.4"
"        Separated","918","±473","2.7%","±1.4","175","±172","0.5%","±0.5","167","±167","0.6%","±0.6","7,032","±1,673","1.7%","±0.4","315","±283","0.6%","±0.5","300","±280","0.5%","±0.4"
"        Widowed","1,018","±604","2.9%","±1.7","784","±496","2.1%","±1.4","575","±315","2.2%","±1.2","6,862","±1,715","1.7%","±0.4","888","±471","1.7%","±0.9","961","±439","1.4%","±0.7"
"        Divorced","1,698","±771","4.9%","±2.2","1,460","±652","4.0%","±1.8","1,039","±507","4.0%","±2.0","24,075","±2,859","5.8%","±0.7","2,009","±698","3.8%","±1.3","4,132","±979","6.2%","±1.4"
"    Females 15 years and over","30,076","±1,440","30,076","(X)","30,310","±1,632","30,310","(X)","27,521","±1,517","27,521","(X)","396,948","±4,739","396,948","(X)","53,415","±2,310","53,415","(X)","60,951","±2,654","60,951","(X)"
"        Never married","8,177","±1,446","27.2%","±4.0","9,543","±1,809","31.5%","±5.2","7,308","±1,401","26.6%","±4.7","134,405","±5,415","33.9%","±1.2","16,643","±2,624","31.2%","±4.1","17,128","±2,082","28.1%","±2.7"
"        Now married, except separated","18,159","±1,111","60.4%","±4.3","15,506","±1,475","51.2%","±5.5","15,237","±1,453","55.4%","±4.9","192,139","±4,501","48.4%","±1.3","27,736","±2,005","51.9%","±4.4","34,650","±1,590","56.8%","±2.8"
"        Separated","336","±270","1.1%","±0.9","438","±447","1.4%","±1.5","237","±208","0.9%","±0.8","6,757","±1,420","1.7%","±0.4","872","±571","1.6%","±1.1","950","±579","1.6%","±0.9"
"        Widowed","1,895","±684","6.3%","±2.2","1,974","±735","6.5%","±2.3","2,042","±579","7.4%","±2.1","27,251","±2,407","6.9%","±0.6","4,328","±1,256","8.1%","±2.3","3,151","±956","5.2%","±1.5"
"        Divorced","1,509","±561","5.0%","±1.8","2,849","±759","9.4%","±2.4","2,697","±784","9.8%","±2.7","36,396","±3,044","9.2%","±0.7","3,836","±1,155","7.2%","±2.1","5,072","±1,068","8.3%","±1.7"
"FERTILITY","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","1,075","±464","1,075","(X)","953","±565","953","(X)","N","N","N","N","10,029","±1,479","10,029","(X)","1,783","±838","1,783","(X)","2,248","±711","2,248","(X)"
"        Unmarried women (widowed, divorced, and never married)","52","±65","4.8%","±6.4","0","±218","0.0%","±18.6","N","N","N","N","2,247","±838","22.4%","±7.5","191","±215","10.7%","±12.1","375","±328","16.7%","±13.5"
"            Per 1,000 unmarried women","6","±8","(X)","(X)","0","±20","(X)","(X)","N","N","(X)","(X)","18","±6","(X)","(X)","11","±13","(X)","(X)","24","±21","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","59","±26","(X)","(X)","47","±28","(X)","(X)","N","N","(X)","(X)","42","±6","(X)","(X)","50","±24","(X)","(X)","60","±19","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","0","±103","(X)","(X)","0","±128","(X)","(X)","N","N","(X)","(X)","0","±7","(X)","(X)","0","±65","(X)","(X)","0","±53","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","96","±53","(X)","(X)","40","±48","(X)","(X)","N","N","(X)","(X)","48","±10","(X)","(X)","61","±37","(X)","(X)","87","±36","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","36","±20","(X)","(X)","61","±37","(X)","(X)","N","N","(X)","(X)","48","±10","(X)","(X)","44","±26","(X)","(X)","40","±19","(X)","(X)"
"GRANDPARENTS","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","N","N","N","N","N","N","N","N","N","N","N","N","26,143","±2,652","26,143","(X)","N","N","N","N","N","N","N","N"
"        Grandparents responsible for grandchildren","N","N","N","N","N","N","N","N","N","N","N","N","4,647","±1,336","17.8%","±4.5","N","N","N","N","N","N","N","N"
"        Years responsible for grandchildren","","","","","","","","","","","","","","","","","","","","","","","",""
"            Less than 1 year","N","N","N","N","N","N","N","N","N","N","N","N","384","±512","1.5%","±2.0","N","N","N","N","N","N","N","N"
"            1 or 2 years","N","N","N","N","N","N","N","N","N","N","N","N","1,066","±734","4.1%","±2.7","N","N","N","N","N","N","N","N"
"            3 or 4 years","N","N","N","N","N","N","N","N","N","N","N","N","833","±564","3.2%","±2.1","N","N","N","N","N","N","N","N"
"            5 or more years","N","N","N","N","N","N","N","N","N","N","N","N","2,364","±962","9.0%","±3.4","N","N","N","N","N","N","N","N"
"    Number of grandparents responsible for own grandchildren under 18 years","N","N","N","N","N","N","N","N","N","N","N","N","4,647","±1,336","4,647","(X)","N","N","N","N","N","N","N","N"
"        Who are female","N","N","N","N","N","N","N","N","N","N","N","N","2,934","±944","63.1%","±9.1","N","N","N","N","N","N","N","N"
"        Who are married","N","N","N","N","N","N","N","N","N","N","N","N","3,112","±1,117","67.0%","±15.5","N","N","N","N","N","N","N","N"
"SCHOOL ENROLLMENT","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 3 years and over enrolled in school","17,767","±1,742","17,767","(X)","17,863","±2,411","17,863","(X)","18,335","±2,591","18,335","(X)","250,274","±7,024","250,274","(X)","30,489","±3,178","30,489","(X)","30,878","±2,675","30,878","(X)"
"        Nursery school, preschool","1,232","±564","6.9%","±3.3","1,581","±599","8.9%","±3.1","998","±638","5.4%","±3.5","12,614","±2,140","5.0%","±0.8","1,335","±438","4.4%","±1.4","2,030","±777","6.6%","±2.4"
"        Kindergarten","591","±328","3.3%","±1.9","861","±425","4.8%","±2.4","615","±423","3.4%","±2.3","11,028","±1,871","4.4%","±0.8","1,721","±655","5.6%","±2.1","2,989","±989","9.7%","±3.1"
"        Elementary school (grades 1-8)","8,037","±1,392","45.2%","±5.8","8,541","±1,363","47.8%","±5.8","8,284","±1,656","45.2%","±5.6","92,419","±4,103","36.9%","±1.4","9,502","±2,013","31.2%","±5.7","10,374","±1,844","33.6%","±4.9"
"        High school (grades 9-12)","3,567","±846","20.1%","±4.3","3,233","±917","18.1%","±4.3","4,707","±922","25.7%","±4.3","53,891","±3,467","21.5%","±1.3","4,968","±1,216","16.3%","±3.7","6,650","±1,173","21.5%","±3.5"
"        College or graduate school","4,340","±1,095","24.4%","±5.5","3,647","±1,148","20.4%","±5.1","3,731","±1,107","20.3%","±5.1","80,322","±4,498","32.1%","±1.5","12,963","±2,365","42.5%","±5.9","8,835","±1,853","28.6%","±5.6"
"EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over","57,169","±1,640","57,169","(X)","59,044","±2,099","59,044","(X)","45,327","±2,333","45,327","(X)","691,752","±6,728","691,752","(X)","90,840","±2,582","90,840","(X)","112,990","±3,195","112,990","(X)"
