Column1,City,Total households,Average household size,Same house,Different house in the U.S.,Same county,Different county,Ancestry American,Ancestry Arab,Ancestry Czech,Ancestry Danish,Ancestry Dutch,Ancestry English,Ancestry French (except Basque),Ancestry French Canadian,Ancestry German,Ancestry Greek,Ancestry Hungarian,Ancestry Irish,Ancestry Italian,Ancestry Lithuanian,Ancestry Norwegian,Ancestry Polish,Ancestry Portuguese,Ancestry Russian,Ancestry Scotch-Irish,Ancestry Scottish,Ancestry Slovak,Ancestry Subsaharan African,Ancestry Swedish,Ancestry Swiss,Ancestry Ukrainian,Ancestry Welsh,Ancestry West Indian (excluding Hispanic origin groups),County
0,Alameda,30281,2.49,67186,8252,5144,3108,"1,982",344,361,318,455,"7,222",726,144,"5,783",450,277,"6,904","2,605",510,605,"2,485",544,"1,761",343,"1,551",0,485,448,145,628,599,71,Alameda County
1,Berkeley,43893,2.29,81595,30318,12921,17397,"2,698","1,714",338,274,646,"12,787","3,470",246,"9,855",743,817,"9,977","6,615",493,"1,340","2,721",994,"3,040",431,"1,748",97,"1,443","1,065","1,427","1,127",743,319,Alameda County
2,Dublin,23688,2.97,59674,10431,6133,4298,501,307,88,131,162,"4,066","1,411",45,"4,519",321,0,"3,144","3,330",45,"1,134",253,203,"1,693",110,"1,008",0,43,230,49,233,494,166,Alameda County
3,Fremont,75716,2.99,199703,23265,9774,13491,"3,176","3,470",50,296,478,"7,767","2,152",98,"8,422",291,124,"9,222","3,330",0,534,925,"1,940",580,793,"1,473",0,"1,199",731,184,84,467,267,Alameda County
4,Hayward,48619,3.23,144997,11944,8114,3830,"4,608","1,082",0,222,640,"2,490","1,180",113,"6,622",83,96,"3,083","3,350",69,332,"1,008","2,843",467,83,541,0,"1,822",563,94,453,300,78,Alameda County
5,Livermore,31472,2.75,74907,10701,5438,5263,"4,316",156,173,591,"1,457","7,731","1,413",433,"11,019",422,0,"10,575","6,071",216,"1,344","2,109","2,289",817,505,"1,168",54,411,"1,359","1,214",471,126,0,Alameda County
6,Oakland,170366,2.52,374995,52463,31327,21136,"5,188","10,937","1,607","1,662","2,516","24,451","5,064",614,"25,824","1,777","1,297","23,744","12,926",517,"3,115","5,029","2,407","4,891","1,437","3,946",322,"12,686","3,377",816,"1,854",959,"1,568",Alameda County
7,Pleasanton,29330,2.66,69332,8200,3830,4370,"1,922",630,291,118,216,"6,371","1,651",358,"5,913",787,0,"5,289","3,966",249,602,"1,323","1,568",494,79,731,0,125,"1,479",98,164,88,0,Alameda County
8,San Leandro,30977,2.85,80302,7480,4547,2933,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Alameda County
0,Antioch,37081,3.08,104307,8958,5785,3173,"2,163",128,50,389,716,"5,725",707,175,"5,347",0,44,"4,492","2,792",86,827,613,955,395,463,980,0,"2,758",261,122,357,437,0,Contra Costa County
1,Concord,46375,2.65,108867,13394,9265,4129,"2,796","2,524",86,"1,711",875,"14,230","1,879",139,"10,315",318,100,"11,602","5,017",0,"1,713","1,782","1,063",813,723,"1,738",41,"1,458","1,000",142,395,641,561,Contra Costa County
